"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5"
"Ramos"," Wilson","Wilson Ramos","DET",467092,2021,-0.333818330803464,-0.1101969598471,-1.75325447793688,-0.347697195073468,-0.16825659822723
"Santana"," Carlos","Carlos Santana","KC",467793,2021,-2.2823895584332,0.857099443745542,-1.64445272759485,-0.496829401118726,-1.79057882585071
"Parra"," Gerardo","Gerardo Parra","WSH",467827,2021,-0.0899518421390985,0.570405808940351,0.181110065853306,1.00325422028619,1.55090998912461
"Carrasco"," Carlos","Carlos Carrasco","NYM",471911,2021,8.72235268760032,0.985971376616353,-0.165629482051172,-2.10915984581556,-0.644478974362196
"Anderson"," Brett","Brett Anderson","MIL",474463,2021,6.53982505025614,-0.645078474406638,0.0222464501691308,0.355183306086466,-1.03690348168042
"Mercer"," Jordy","Jordy Mercer","WSH",474568,2021,-0.964676682158584,0.116536067037241,-0.793652907073502,1.30853739228662,2.32639010711012
"Belt"," Brandon","Brandon Belt","SF",474832,2021,-3.19741676915977,-1.62072414154874,-0.987216276463742,-0.31937974583083,-0.335305601840084
"Zimmerman"," Ryan","Ryan Zimmerman","WSH",475582,2021,-1.32306539785222,0.0520673476632817,-1.22761496455616,-0.993794196573793,-0.449577201711198
"Lowrie"," Jed","Jed Lowrie","OAK",476704,2021,-2.48873095733318,-0.185875888137104,-1.68131979238824,-0.720661878979218,-0.468376914243801
"Kershaw"," Clayton","Clayton Kershaw","LAD",477132,2021,3.12899047677472,3.40537054597077,-1.53760371544091,-0.408561787890673,2.41471487137579
"Avila"," Alex","Alex Avila","WSH",488671,2021,0.664966876673391,-2.76638254125541,-1.05642698527612,-1.24705763948555,1.57373819964295
"Brantley Jr."," Michael","Michael Brantley Jr.","HOU",488726,2021,-3.47686028157625,2.64332266848254,-1.59443502436209,-0.186074079305737,0.449035822869884
"Castro"," Jason","Jason Castro","HOU",488771,2021,-0.918424372718441,-1.85847545400511,-0.784310581207084,-0.924248746818043,2.53844105074419
"Miley"," Wade","Wade Miley","CIN",489119,2021,2.93731852429249,1.47023104326762,-1.12828353147878,0.0596358765023263,1.35523158627466
"Gurriel"," Yuli","Yuli Gurriel","HOU",493329,2021,-3.74529802976013,2.30359899201462,-1.29353674345682,0.343595942687896,-0.62626396172624
"Campbell"," Eric","Eric Campbell","SEA",493472,2021,-0.604809634371944,0.450514383787738,-0.970610638916037,0.919009246050524,3.66152908917267
"Rojas"," Miguel","Miguel Rojas","MIA",500743,2021,-1.76141777391291,2.0743396769788,0.516147962097479,-0.0135498917610838,-0.4579867492288
"Escobar"," Eduardo","Eduardo Escobar","ARI",500871,2021,-3.00601339354862,-0.054854715003017,-1.05532612945215,0.395830470292353,-1.11151523946203
"Adrianza"," Ehire","Ehire Adrianza","ATL",501303,2021,-1.32437251455471,0.52696927174486,-0.865919217886094,1.15381744824905,0.899748185039476
"Lagares"," Juan","Juan Lagares","LAA",501571,2021,-0.555431942938179,0.626725734290227,-0.131522822917727,-0.342133582847019,0.739517812649026
"Almonte"," Abraham","Abraham Almonte","ATL",501659,2021,-1.6714677433373,0.0708899877106756,-0.401829604895813,0.265881764200506,0.0873726257212668
"Davis"," Khris","Khris Davis","OAK",501981,2021,-0.389740450954347,-2.27625133224216,-1.17292520065953,-0.134581211840371,0.0763972661247457
"Gibson"," Kyle","Kyle Gibson","TEX",502043,2021,5.17562699789169,1.0150238605745,-0.594669572751951,0.00552997731735599,-1.78389459398762
"Pham"," Tommy","Tommy Pham","SD",502054,2021,-2.79231747743009,0.290459289095573,0.49726281578306,-1.84515573421436,-0.835365795802272
"Martinez"," J.D.","J.D. Martinez","BOS",502110,2021,-3.58930228386284,-0.926401729009785,-1.6180458529757,-1.49158010420116,-0.320301375404602
"Espino"," Paolo","Paolo Espino","WSH",502179,2021,4.12036594917443,0.443437139234488,-1.23811449883077,-1.33403585950877,2.4905244264138
"Reddick"," Josh","Josh Reddick","ARI",502210,2021,-1.40542311922339,0.54142876956627,-1.01501864898524,1.65549662854061,1.09912762029772
"Freeman"," Mike","Mike Freeman","CIN",502273,2021,1.39779972553649,0.349395698516358,1.56154051538219,0.912438654507182,1.52237533679153
"Dyson"," Jarrod","Jarrod Dyson","KC",502481,2021,1.02422209928125,2.3874861065046,5.69865219338292,-1.44879667126658,0.588403001084292
"Anderson"," Chase","Chase Anderson","PHI",502624,2021,7.24141653728105,-2.10358421090805,0.00425078609418676,-0.0433498321889664,0.79946676122136
"Goldschmidt"," Paul","Paul Goldschmidt","STL",502671,2021,-4.10705348942326,-0.0559227537700834,-0.805887355190098,-1.36577808390221,-0.706123858867342
"Gonzalez"," Marwin","Marwin Gonzalez","BOS",503556,2021,-0.350593430310238,0.941960472089953,0.214057580235049,0.485068037029972,-0.159840316441963
"Darvish"," Yu","Yu Darvish","SD",506433,2021,4.57404882171169,1.61425505620734,-1.35708004093264,-1.182683510004,0.954171789929873
"Leon"," Sandy","Sandy Leon","MIA",506702,2021,0.340044482116025,-0.0403857314814782,-1.24675356549817,1.96561954565405,-0.0515815909162293
"Sanchez"," Adrian","Adrian Sanchez","WSH",506703,2021,0.548625355894425,1.84136716924505,-0.753517622612946,2.74303792955831,0.179650472862666
"Altuve"," Jose","Jose Altuve","HOU",514888,2021,-3.46784002266906,1.55926516998829,-0.604354361103071,0.36004210948545,-1.32442001659838
"Hernandez"," Cesar","Cesar Hernandez","CLE",514917,2021,-2.18064484783525,1.23870123881025,-0.744532248370846,-1.1357478088919,-1.3143311042747
"Segura"," Jean","Jean Segura","PHI",516416,2021,-2.42293407977116,2.22748285992979,-0.133488635884362,-0.819848631339134,-0.832756951179432
"Castro"," Starlin","Starlin Castro","WSH",516770,2021,-1.83215307060295,1.29630962779641,-1.33081603418451,-0.511755646678673,0.299480521005983
"Marte"," Starling","Starling Marte","OAK",516782,2021,-2.69258163899442,1.6156053406034,4.11812888561796,-2.12167381906005,-0.327635262867598
"Bumgarner"," Madison","Madison Bumgarner","ARI",518516,2021,2.42041212813957,-4.57280339365733,-1.08087538264919,1.11339562877102,0.95199126241961
