last_name, first_name,name,team,player_id,year,Age,AB,PA,HR%,K%,BB%,AVG,SLG,OBP,RBI/PA,CSSB%,SB%,DPTP%,HBP%,IBB%,SacBunt%,SacFly%,R/PA,Sac%,Walkoff,AvgEV(MPH),AvgLA(°),SweetSpot%,Barrel%,SolidContact%,Flare/Burner%,Under%,Topped%,Poor/Weak%,HardHit%,ZoneSwing%,OutofZoneSwing%,OutofZoneContact%,InZoneContact%,Whiff%,Swing%,Pull%,StraightAway%,Oppo%,GB%,FB%,LD%,Popup%,HPto1B,SprintSpeed
Pujols, Albert,Albert Pujols,LAD,405395,2021,41,275,296,0.061818182,15.2,4.7,0.236,0.433,0.284,0.168918919,0.023791397,0.023791397,0.050909091,0.016891892,0.638297872,0,1,0.097972973,0.006756757,0,90.3,12,29.3,9.1,3.9,21.6,26.7,36.2,2.2,39.8,63.6,31.8,58.9,88.6,21.7,47.1,46.1,28.4,25.4,46.1,26.7,19.4,7.8,5.15,22.4
Cabrera, Miguel,Miguel Cabrera,DET,408234,2021,38,472,526,0.031779661,22.4,7.6,0.256,0.386,0.316,0.142585551,0,0,0.044491525,0.009505703,0,0,1,0.091254753,0.017110266,1,91.4,10,32.8,8.3,8.5,22.9,21.5,34.2,3.3,49,69.1,30.3,57.2,81.9,25.8,49.4,32.8,37.2,30,49,25.9,21.5,3.6,5.01,23.9
Rivera, Rene,Rene Rivera,CLE,425784,2021,38,69,78,0.028985507,37.2,5.1,0.232,0.362,0.282,0.115384615,0,0,0.057971014,0.025641026,0,1,0,0.102564103,0.038461538,0,88.5,13,30.2,9.3,7,27.9,16.3,32.6,7,39.5,65.6,31.8,31.7,72.8,38.9,50.3,48.8,27.9,23.3,53.5,23.3,18.6,4.7,4.78,26
Wainwright, Adam,Adam Wainwright,STL,425794,2021,40,57,74,0,33.8,4.1,0.123,0.158,0.135,0.054054054,0,0,0.035087719,0,0,1,0,0.013513514,0.189189189,0,86.1,4.7,15.2,2.2,4.3,10.9,8.7,28.3,45.7,23.9,70.6,42.5,29.8,75,31.4,56.7,39.1,50,10.9,76.1,10.9,10.9,2.2,5.22,23.3
Molina, Yadier,Yadier Molina,STL,425877,2021,39,440,473,0.025,16.7,5.1,0.252,0.37,0.296,0.139534884,0.021427347,0.021427347,0.036363636,0.010570825,0.196078431,0,1,0.095137421,0.006342495,2,88,15.3,34.1,5.2,7.7,29.1,28,26.9,2.7,31.6,76,38.9,63.3,82.7,24,57.1,43.4,34.3,22.3,42.6,29.1,21.7,6.6,4.92,22.6
Suzuki, Kurt,Kurt Suzuki,LAA,435559,2021,38,219,247,0.02739726,17.8,4.9,0.224,0.342,0.291,0.064777328,0,0,0.03196347,0.044534413,0,0.4,0.6,0.068825911,0.020242915,0,85.2,14.6,28.9,3.9,5,20.6,31.7,33.9,3.9,27.2,70.2,28.5,59.1,85.7,21.7,49,47.8,31.7,20.6,44.4,25,22.8,7.8,4.92,24.6
Cruz Jr., Nelson,Nelson Cruz Jr.,TB,443558,2021,41,513,584,0.062378168,21.6,8.7,0.265,0.497,0.332,0.147260274,0.01547285,0.01547285,0.027290448,0.011986301,1.149425287,0,1,0.135273973,0.015410959,1,92.9,11.8,31.8,13.6,8.1,19.7,24.5,31.1,3,52.5,73.8,31,52.5,77.4,30.7,51,36.6,36.4,27,43.4,25.5,22,9.1,4.69,26
Peralta, David,David Peralta,ARI,444482,2021,34,487,538,0.016427105,17.1,8.6,0.259,0.402,0.325,0.117100372,0.017157564,0.011438376,0.018480493,0.005576208,0.348837209,0,1,0.105947955,0.003717472,1,89.3,5.3,27.2,5,4.5,24.2,19.9,42.6,3.3,41.8,66.6,27,59.6,86.4,21.3,46.5,31.2,40.8,28,54.9,15.6,23.2,6.3,4.39,27.6
Pina, Manny,Manny Pina,MIL,444489,2021,34,180,208,0.072222222,18.3,10.6,0.189,0.439,0.293,0.158653846,0,0,0.022222222,0.024038462,0,0,1,0.129807692,0.004807692,0,86.5,18.8,32.2,10.5,5.6,18.2,32.2,28,4.9,32.2,62,24.7,47.5,88.1,23.8,42.9,44.8,37.1,18.2,38.5,32.9,18.2,10.5,4.93,25.1
Escobar, Alcides,Alcides Escobar,WSH,444876,2021,35,319,349,0.012539185,16,4.9,0.288,0.404,0.338,0.080229226,0.025431919,0.025431919,0.006269592,0.025787966,0,0.5,0.5,0.151862464,0.011461318,1,81.7,11.1,36.3,3,4.1,27.7,21.7,33,10.5,21,69.2,35.3,64.2,83.4,21.6,52.2,31.1,38.2,30.7,45.3,20.6,28.8,5.2,4.37,27.4
Jay, Jon,Jon Jay,LAA,445055,2021,36,14,14,0,14.3,0,0.357,0.357,0.357,0.071428571,0,0,0,0,0,0,0,0.142857143,0,0,83.2,4,25,0,0,16.7,16.7,66.7,0,8.3,77.8,51.9,85.7,81,14.3,64.8,33.3,25,41.7,83.3,8.3,8.3,0,4.69,25.9
Longoria, Evan,Evan Longoria,SF,446334,2021,36,253,291,0.051383399,23.4,12,0.261,0.482,0.351,0.158075601,0.019580776,0.009790388,0.035573123,0.003436426,0.333333333,0,1,0.154639175,0.006872852,0,94.3,15.7,34.2,13.4,8.6,24.6,24.1,27.8,0,54.9,64.9,18.5,55.9,80.1,25.1,42.4,35.8,39,25.1,41.2,31.6,21.9,5.3,4.7,26.1
Lobaton, Jose,Jose Lobaton,CHC,446653,2021,37,11,13,0,38.5,15.4,0,0,0.154,0,0,0,0,0,0,0,0,0.076923077,0,0,90.4,2.4,33.3,0,0,33.3,16.7,50,0,50,75,24,33.3,62.5,43.3,52.6,33.3,16.7,50,66.7,16.7,16.7,0,4.57,26.73
Hill, Rich,Rich Hill,BOS,448179,2021,41,24,26,0,38.5,0,0.125,0.125,0.115,0,0,0,0.083333333,0,0,1,0,0,0.076923077,0,68.3,-24.9,18.8,0,0,6.3,0,37.5,56.3,0,80.7,46.3,42.1,58.7,36.9,66.3,25,18.8,56.3,87.5,0,6.3,6.3,4.84,25.1
Morton, Charlie,Charlie Morton,ATL,450203,2021,38,55,62,0,50,0,0.127,0.145,0.113,0.016129032,0,0,0,0,0,1,0,0.080645161,0.112903226,0,80.8,3.7,25.8,0,3.2,22.6,16.1,29,29,6.5,53.2,35.3,23.3,67.2,40.2,46,25.8,35.5,38.7,58.1,19.4,16.1,6.5,5.68,21.4
Fowler, Dexter,Dexter Fowler,LAA,451594,2021,35,20,21,0,28.6,4.8,0.25,0.25,0.286,0.047619048,0.166500167,0.166500167,0,0,0,0,0,0.142857143,0,0,86.7,23.8,42.9,0,21.4,28.6,28.6,21.4,0,42.9,81,31.4,45.5,76.5,31.1,58.4,42.9,21.4,35.7,35.7,42.9,14.3,7.1,4.57,26.73
Lester, Jon,Jon Lester,STL,452657,2021,37,48,51,0.020833333,47.1,3.9,0.167,0.271,0.196,0.058823529,0,0,0,0,0,1,0,0.058823529,0.019607843,0,86,0.5,40,8,4,32,12,28,16,40,56.3,18.2,31.3,73.2,34.5,40.7,20,60,20,56,12,24,8,4.57,26.73
Cabrera, Asdrubal,Asdrubal Cabrera,ARI,452678,2021,36,309,352,0.022653722,22.7,10.2,0.23,0.366,0.313,0.119318182,0.009076387,0.009076387,0.025889968,0.008522727,0.098039216,0,1,0.096590909,0.011363636,1,87.8,14.5,30,6,3.9,24.5,30.9,30.9,3.9,30.9,68.4,28.2,55.7,82.1,25.3,48.3,46.4,32.2,21.5,42.5,27.9,21.5,8.2,4.79,24.9
LeBlanc, Wade,Wade LeBlanc,STL,453281,2021,37,11,13,0,23.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.153846154,0,77.5,1,0,0,0,0,20,60,20,0,50,50,66.7,100,11.8,50,30,40,30,80,0,0,20,4.57,26.73
Scherzer, Max,Max Scherzer,NYM,453286,2021,37,59,63,0,44.4,0,0,0,0,0.015873016,0,0,0.016949153,0,0,0.75,0.25,0,0.063492063,0,85.6,-4.6,22.9,0,5.7,0,17.1,60,14.3,22.9,66,24.5,40,62.1,33.3,48.8,17.1,51.4,31.4,77.1,14.3,8.6,0,5.79,21
Arrieta, Jake,Jake Arrieta,SD,453562,2021,35,23,30,0,53.3,6.7,0.13,0.13,0.2,0,0,0,0,0.033333333,0,1,0,0.1,0.133333333,0,77.4,10.5,27.3,0,0,18.2,9.1,18.2,54.5,18.2,39.4,19.6,18.2,50,48.6,30.3,45.5,18.2,36.4,72.7,0,18.2,9.1,4.57,26.73
Blackmon, Charlie,Charlie Blackmon,COL,453568,2021,35,514,582,0.025291829,15.6,9.3,0.27,0.411,0.351,0.134020619,0.014685582,0.014685582,0.015564202,0.018900344,0.107526882,0,1,0.130584192,0.005154639,3,87.6,10.1,32.2,7,3.5,29.1,21.1,33.3,4.7,38.7,67.4,26.1,64.2,85.4,20.2,47.3,35.7,41.8,22.5,47.4,22.3,24.4,5.9,4.33,27.7
Frazier, Todd,Todd Frazier,PIT,453943,2021,35,35,40,0,15,7.5,0.086,0.114,0.2,0.1,0,0,0.028571429,0.05,0,0,0,0.075,0,0,87.5,12.7,17.2,3.4,6.9,10.3,34.5,44.8,0,34.5,70.4,25.8,65.2,90,17.8,45.6,41.4,37.9,20.7,48.3,24.1,13.8,13.8,4.8,24.2
Maldonado, Martin,Martin Maldonado,HOU,455117,2021,35,373,426,0.032171582,29.8,11,0.172,0.3,0.272,0.084507042,0,0,0.024128686,0.011737089,0.090909091,0,1,0.093896714,0.002347418,0,88,17.6,30.8,5.7,6.5,23.5,33.2,26.7,4.5,33.2,61.8,23.3,48.5,79.1,28.9,42.8,40.1,34,25.9,37.2,32.4,23.5,6.9,5.04,23.5
Chirinos, Robinson,Robinson Chirinos,CHC,455139,2021,37,97,112,0.051546392,32.1,8,0.227,0.454,0.321,0.133928571,0,0,0.020618557,0.044642857,0,1,0,0.116071429,0.008928571,0,89.4,21.7,29,8.1,11.3,27.4,29,16.1,8.1,45.2,72.4,25.7,51.6,73.8,32.4,48.1,46.8,29,24.2,35.5,37.1,16.1,11.3,4.9,24.8
Price, David,David Price,LAD,456034,2021,36,15,18,0,16.7,0,0.267,0.333,0.222,0.111111111,0,0,0,0,0,0.666666667,0.333333333,0.055555556,0.166666667,0,84.4,-19,20,0,0,20,13.3,33.3,26.7,33.3,80,25,40,79.2,20.7,58,33.3,33.3,33.3,73.3,6.7,20,0,4.57,26.73
Cueto, Johnny,Johnny Cueto,SF,456501,2021,35,29,37,0,24.3,8.1,0.069,0.069,0.135,0,0.2002002,0.2002002,0,0,0,1,0,0.027027027,0.135135135,0,75.9,-11.2,8,0,0,8,16,48,28,4,60.8,26.5,46.2,73.3,22.4,47.2,4,40,56,76,8,8,8,5.06,24
Cain, Lorenzo,Lorenzo Cain,MIL,456715,2021,35,257,286,0.031128405,16.8,9.1,0.257,0.401,0.329,0.125874126,0.159415053,0.138159713,0.019455253,0.006993007,0,0,1,0.13986014,0.003496503,0,88.4,7.2,29,4.3,6.2,21.4,23.3,41.4,2.9,37.6,65.8,22.5,47.2,88.2,21.9,44.6,32.4,37.6,30,50,24.3,21,4.8,4.38,28.7
Solano, Donovan,Donovan Solano,SF,456781,2021,34,307,344,0.022801303,16.9,7.3,0.28,0.404,0.343,0.090116279,0.016950302,0.016950302,0.026058632,0.020348837,0.273972603,0.2,0.8,0.101744186,0.014534884,0,88.3,11.1,39.4,7.5,5.9,28,23.6,30.3,3.5,36.3,71.3,28.9,63.5,86.9,20.3,49.7,33.1,39.8,27.2,42.1,27.2,28.3,2.4,4.57,26.1
McCutchen, Andrew,Andrew McCutchen,PHI,457705,2021,35,482,574,0.056016598,23,14.1,0.222,0.444,0.334,0.139372822,0.04172839,0.031296292,0.020746888,0.006968641,0.141843972,0,1,0.135888502,0.012195122,1,88.8,14.6,33.6,9,8.4,21.8,26.6,30,3.9,39.5,63.7,19.1,50,81.1,25.9,41.7,48.7,32.8,18.5,40.9,30.5,21.6,7,4.36,28.7
Upton, Justin,Justin Upton,LAA,457708,2021,34,318,362,0.053459119,29.6,10.8,0.211,0.409,0.296,0.113259669,0.046662685,0.037330148,0.034591195,0.002762431,0,0,1,0.129834254,0.008287293,0,90.1,15.6,30.4,11.7,6.1,20.1,28,29,3.3,41.6,66.5,24.5,50,75.2,31.4,45.1,44.9,34.1,21,42.5,31.3,17.3,8.9,4.61,27.5
Maybin, Cameron,Cameron Maybin,NYM,457727,2021,34,28,33,0,36.4,9.1,0.036,0.036,0.182,0,0.166500167,0.166500167,0,0.060606061,0,0,0,0.060606061,0,0,85.8,-0.5,12.5,0,0,6.3,25,43.8,6.3,23.1,65.5,34.5,25,80.6,33.3,49.6,56.3,18.8,25,62.5,12.5,12.5,12.5,4.18,29.1
Turner, Justin,Justin Turner,LAD,457759,2021,37,533,612,0.05065666,16,10,0.278,0.471,0.361,0.142156863,0.013578839,0.013578839,0.022514071,0.019607843,0,0,1,0.142156863,0.009803922,0,90.9,19.1,36.1,7.9,8.6,26.8,30.6,23.8,1.1,42.8,67,22.7,69.1,86.8,17.7,44.5,31.3,38.5,30.2,35.4,33.1,24.5,7,4.78,25.5
Posey III, Buster,Buster Posey III,SF,457763,2021,34,395,454,0.04556962,19.2,12.3,0.304,0.499,0.39,0.123348018,0,0,0.037974684,0.002202643,0.406504065,0,1,0.149779736,0.004405286,0,88.5,8.7,38.4,8.1,6.5,29.4,19,32.6,4.5,39.4,67.9,22,65.8,79.8,23.9,44.6,30.3,44.8,24.8,46.5,23.2,26.1,4.2,4.84,24.2
Bruce, Jay,Jay Bruce,NYY,457803,2021,34,34,39,0.029411765,33.3,12.8,0.118,0.235,0.231,0.076923077,0,0,0.058823529,0,0,0,0,0.076923077,0,0,84,8.5,38.1,0,9.5,33.3,19,28.6,9.5,19,72.4,21.5,35.3,71.4,36.3,48.2,33.3,61.9,4.8,52.4,23.8,19,4.8,5.24,23.2
Happ, J.A.,J.A. Happ,STL,457918,2021,39,14,15,0,33.3,6.7,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,84.5,-0.3,33.3,0,0,0,22.2,66.7,11.1,22.2,54.3,29.2,28.6,89.5,19.2,44.1,33.3,44.4,22.2,55.6,11.1,22.2,11.1,5.35,22.7
Votto, Joey,Joey Votto,CIN,458015,2021,38,448,533,0.080357143,23.8,14.4,0.266,0.563,0.375,0.185741088,0.005003127,0.005003127,0.015625,0.00750469,0.416666667,0,1,0.1369606,0.00750469,0,92.9,18.2,44.3,17.2,9.2,23.7,25.2,23.4,1.2,53.2,68.1,21.7,50.6,77.6,29.4,43.9,40.9,36.9,22.2,33.2,36.9,25.2,4.6,4.76,25.1
Gardner, Brett,Brett Gardner,NYY,458731,2021,38,387,461,0.025839793,21.7,13,0.222,0.362,0.323,0.084598698,0.033578907,0.026863126,0.007751938,0.006507592,0,0.454545455,0.545454545,0.101952278,0.023861171,1,86.7,12.5,29.2,3.4,6.4,22.8,25.5,33.6,6.7,33.2,56,17.4,65.7,85.7,18.3,37.5,33.6,37.6,28.9,46,21.8,21.5,10.7,4.15,28.6
Joyce, Matt,Matt Joyce,PHI,459964,2021,37,55,69,0.036363636,23.2,17.4,0.091,0.218,0.261,0.101449275,0,0,0.036363636,0.014492754,0.114942529,0,1,0.086956522,0.014492754,0,85.7,14.8,25,10,5,12.5,27.5,40,5,27.5,69.2,21.6,56.7,73.9,30.3,44.9,55,27.5,17.5,50,30,12.5,7.5,4.64,26.2
Butera, Drew,Drew Butera,LAA,460077,2021,38,32,36,0,44.4,0,0.094,0.125,0.083,0.138888889,0,0,0,0,0,0.75,0.25,0.027777778,0.111111111,0,84.9,18.9,45,0,5,25,35,15,20,10,69.9,31.1,52.6,74.1,31.2,53.5,35,40,25,30,35,30,5,4.57,26.73
Romine, Andrew,Andrew Romine,CHC,461865,2021,36,60,64,0.016666667,37.5,6.3,0.183,0.267,0.234,0.078125,0.133547009,0,0.016666667,0,0,0,0,0.109375,0,0,80.5,7.1,36.1,0,2.8,25,22.2,41.7,8.3,16.7,72.8,35.7,54,81.3,24.8,53.2,47.2,36.1,16.7,52.8,19.4,27.8,0,4.4,27.6
Andrus, Elvis,Elvis Andrus,OAK,462101,2021,33,497,541,0.006036217,15,5.7,0.243,0.32,0.292,0.068391867,0.094953536,0.082293065,0.028169014,0.011090573,0.350877193,0.428571429,0.571428571,0.11090573,0.012939002,1,87.8,8.1,34,2.1,5.9,30.3,21,35.7,4.5,34.8,66,31.7,61,89.2,19.6,48.9,32.2,42.3,25.5,47,17.5,28.4,7.1,4.53,26.7
Sandoval, Pablo,Pablo Sandoval,ATL,467055,2021,35,73,86,0.054794521,29.1,12.8,0.178,0.342,0.302,0.127906977,0,0,0.02739726,0.023255814,0,0,0,0.127906977,0,0,91.5,14,41.7,10.4,4.2,18.8,33.3,31.3,2.1,47.9,69.5,31.2,56.7,75.4,31.5,47.8,25,45.8,29.2,35.4,27.1,27.1,10.4,5.35,22.7
Ramos, Wilson,Wilson Ramos,DET,467092,2021,34,151,163,0.052980132,22.1,5.5,0.205,0.397,0.245,0.122699387,0,0,0.013245033,0,0,0,1,0.09202454,0.006134969,0,89.6,6.6,30.2,11.2,5.2,24.1,19.8,36.2,3.4,44,72,33.5,48.8,82.6,26.7,54.6,37.1,35.3,27.6,54.3,19,20.7,6,5.03,23.7
Santana, Carlos,Carlos Santana,KC,467793,2021,35,565,659,0.033628319,15.5,13.1,0.214,0.342,0.319,0.104704097,0.009513797,0.009513797,0.021238938,0.004552352,0.229007634,0,1,0.100151745,0.007587253,1,89.9,12.9,28,6.8,7.1,22.4,25.4,34.8,3.2,41.9,66.9,22.5,63.4,83.2,22.2,43.4,43.4,39.3,17.1,45.3,26.5,19.2,8.8,4.7,24.9
Parra, Gerardo,Gerardo Parra,WSH,467827,2021,34,97,107,0.020618557,28,5.6,0.237,0.351,0.29,0.093457944,0.064453754,0.032226877,0.030927835,0.018691589,0,0.5,0.5,0.121495327,0.018691589,0,87.5,15.7,36.2,1.4,4.3,29,33.3,27.5,4.3,29,69.1,30.8,57.8,79,26.1,49.9,23.2,39.1,37.7,34.8,31.9,30.4,2.9,4.67,26
Carrasco, Carlos,Carlos Carrasco,NYM,471911,2021,34,15,19,0,52.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0.210526316,0,84.5,-13.8,0,0,0,11.1,0,33.3,55.6,0,65.9,30.4,42.9,51.7,38.9,53.7,33.3,55.6,11.1,100,0,0,0,4.57,26.73
Anderson, Brett,Brett Anderson,MIL,474463,2021,33,28,34,0,41.2,11.8,0,0,0.118,0.029411765,0,0,0.107142857,0,0,1,0,0.058823529,0.058823529,0,71,-0.7,18.8,0,0,6.3,12.5,37.5,43.8,0,53.4,16.7,20,66.7,30.6,36.8,50,12.5,37.5,75,12.5,6.3,6.3,4.57,26.73
Mercer, Jordy,Jordy Mercer,WSH,474568,2021,35,118,127,0.016949153,26.8,7.1,0.254,0.364,0.307,0.070866142,0,0,0.008474576,0,0,0,0,0.102362205,0,0,86.7,13.2,42.9,3.6,8.3,34.5,21.4,25,7.1,33.3,60.8,25.1,50.7,87.6,23.5,42.6,41.7,34.5,23.8,38.1,19,33.3,9.5,4.53,26.5
Belt, Brandon,Brandon Belt,SF,474832,2021,33,325,381,0.089230769,27,12.6,0.274,0.597,0.378,0.154855643,0.034717882,0.020830729,0.027692308,0.018372703,0.238095238,0,1,0.170603675,0.002624672,0,89.2,22.9,35,16.6,6.3,21.5,29.6,17.5,7.2,45,78.5,18.9,61,73.8,28.1,47.5,43.5,30.5,26,29.1,41.7,21.5,7.6,4.61,25.6
Zimmerman, Ryan,Ryan Zimmerman,WSH,475582,2021,37,255,273,0.054901961,28.2,5.9,0.243,0.471,0.286,0.168498168,0,0,0.035294118,0,0,0,1,0.098901099,0.007326007,0,91.3,7.4,32.2,10.6,6.1,20.6,21.7,38.3,2.8,47.8,59.6,33.2,54.4,81.3,29,45.7,34.4,47.8,17.8,50,21.1,22.2,6.7,4.52,26.6
Lowrie, Jed,Jed Lowrie,OAK,476704,2021,37,457,512,0.030634573,21.1,9.6,0.245,0.398,0.318,0.134765625,0,0,0.01750547,0.00390625,0.104166667,0,1,0.107421875,0.0078125,1,90.7,16.4,36.5,9.3,9.6,23.8,26.9,28.9,1.4,45.9,70.9,20.6,53,81.7,24.2,46.7,37.1,39.7,23.2,36.8,32.6,24.9,5.7,4.7,25.2
Kershaw, Clayton,Clayton Kershaw,LAD,477132,2021,33,36,39,0,28.2,2.6,0.222,0.222,0.231,0.076923077,0,0,0,0,0,1,0,0.051282051,0.051282051,0,79.6,-8.3,33.3,0,0,29.6,7.4,40.7,22.2,14.8,66.7,32.8,84.2,69.7,24.7,54.1,14.8,63,22.2,63,3.7,29.6,3.7,5.28,23
Avila, Alex,Alex Avila,WSH,488671,2021,34,89,111,0.011235955,33.3,17.1,0.191,0.348,0.342,0.081081081,0,0,0.04494382,0.018018018,0.058479532,1,0,0.045045045,0.009009009,0,88.6,10.8,39.6,11.3,9.4,17,24.5,32.1,5.7,43.4,61.4,13.1,29,66.4,39.7,37,41.5,37.7,20.8,43.4,32.1,22.6,1.9,5.02,24.2
Brantley Jr., Michael,Michael Brantley Jr.,HOU,488726,2021,34,469,508,0.017057569,10.4,6.5,0.311,0.437,0.362,0.092519685,0.010875712,0.005437856,0.023454158,0.00984252,0.153846154,0,1,0.133858268,0.001968504,0,89.5,9.9,38.8,5.8,6.2,31.4,21.1,32.1,3.4,42.9,65.9,24.1,78.2,92.7,10.9,45.6,33.3,41.2,25.4,46.8,20.6,28.8,3.8,4.65,25.7
Castro, Jason,Jason Castro,HOU,488771,2021,34,149,179,0.053691275,30.2,14,0.235,0.443,0.352,0.117318436,0,0,0.026845638,0.016759777,0.071428571,1,0,0.122905028,0.011173184,1,90.5,14.5,43.3,14.4,6.2,30.9,19.6,22.7,5.2,42.3,60.8,18.5,48.6,68.6,34.6,40,41.2,30.9,27.8,39.2,28.9,28.9,3.1,4.52,26.6
Miley, Wade,Wade Miley,CIN,489119,2021,35,54,59,0,22,5.1,0.185,0.241,0.22,0.050847458,0,0,0,0,0,1,0,0.152542373,0.033898305,0,86.2,1.7,27.9,0,2.3,25.6,16.3,41.9,14,25.6,82,43.4,45.5,78.1,26.4,64.2,20.9,41.9,37.2,65.1,9.3,20.9,4.7,5.13,23.7
Gurriel, Yuli,Yuli Gurriel,HOU,493329,2021,37,530,605,0.028301887,11.2,9.8,0.319,0.462,0.383,0.133884298,0.008631293,0.004315646,0.030188679,0.00661157,0.204081633,0,1,0.137190083,0.019834711,1,89.8,13.4,31,3.4,5.5,29.1,28.3,31.4,2.3,42,62.2,26.1,75.8,91.2,13.9,42.8,33.3,40.9,25.7,41.6,24.3,25.5,8.6,4.42,27
Campbell, Eric,Eric Campbell,SEA,493472,2021,34,11,12,0,8.3,8.3,0.273,0.273,0.333,0,0,0,0,0,0,0,0,0.083333333,0,0,83.9,13.7,40,0,20,30,20,30,0,20,68.2,31.6,83.3,73.3,23.8,51.2,30,30,40,40,30,30,0,4.73,25.7
Rojas, Miguel,Miguel Rojas,MIA,500743,2021,32,495,539,0.018181818,13.7,6.9,0.265,0.392,0.321,0.089053803,0.092475393,0.075136257,0.02020202,0.009276438,0,0.5,0.5,0.12244898,0.003710575,0,86.2,11.5,32.4,2.8,4.7,26,25.5,36.9,3.8,32.9,66.3,26.3,61.4,88.6,19.3,45.7,33.3,38.5,28.1,45.6,22,24.3,8,4.56,26.6
Escobar, Eduardo,Eduardo Escobar,ARI,500871,2021,32,549,599,0.051001821,20.7,8,0.253,0.472,0.314,0.150250417,0.005316717,0.005316717,0.005464481,0.001669449,0.125,0,1,0.128547579,0.001669449,0,87,20.8,38,8.9,6.1,23.2,33.8,22.5,5.2,34.5,72.2,28.9,63.7,81.6,23.9,49.5,45.3,31,23.7,33.3,33.3,23,10.3,4.34,27.4
Adrianza, Ehire,Ehire Adrianza,ATL,501303,2021,32,182,209,0.027472527,20.1,10,0.247,0.401,0.325,0.133971292,0,0,0.021978022,0.009569378,0,0.25,0.75,0.153110048,0.019138756,1,85.5,13.2,36.1,2.8,6.3,29.2,25.7,25,9.7,32.9,68.2,21.8,56,85.9,21.1,44.9,42.4,37.5,20.1,41,21.5,27.8,9.7,4.43,26.9
Lagares, Juan,Juan Lagares,LAA,501571,2021,32,309,327,0.019417476,23.2,3.7,0.236,0.372,0.263,0.116207951,0.034883315,0.011627772,0.025889968,0.003058104,0,0.8,0.2,0.119266055,0.01529052,1,90.6,8.8,34.9,6.7,7.1,23.9,21,33.6,7.1,42.9,66.4,34,59.8,81.4,24.3,50.3,37.8,32.8,29.4,46.6,20.2,27.3,5.9,4.45,28.2
Almonte, Abraham,Abraham Almonte,ATL,501659,2021,32,148,175,0.033783784,21.7,14.9,0.216,0.399,0.331,0.108571429,0.034527406,0.017263703,0.013513514,0,0,0,1,0.114285714,0.005714286,0,89.3,10.5,32.4,7.2,5.4,24.3,25.2,33.3,3.6,41.4,63.5,22.9,56.8,84.2,23.2,43,43.2,33.3,23.4,46.8,21.6,25.2,6.3,4.4,27.8
Davis, Khris,Khris Davis,OAK,501981,2021,34,102,114,0.029411765,27.2,8.8,0.206,0.363,0.272,0.087719298,0,0,0.019607843,0,0,0,1,0.096491228,0.01754386,0,89.9,13.6,30.1,11,9.6,23.3,23.3,27.4,5.5,45.2,79.7,22.3,43.8,69.1,36,52.3,47.9,27.4,24.7,47.9,27.4,15.1,9.6,4.95,25.6
Gibson, Kyle,Kyle Gibson,TEX,502043,2021,34,29,30,0.034482759,33.3,0,0.138,0.241,0.133,0.066666667,0,0,0,0,0,1,0,0.1,0.033333333,0,84.3,-10.6,10,5,0,10,5,60,20,20,65.5,24.3,11.1,81.6,23.4,49.5,25,30,45,80,5,0,15,4.92,24.7
Pham, Tommy,Tommy Pham,SD,502054,2021,33,475,561,0.031578947,22.8,13.9,0.229,0.383,0.34,0.087344029,0.104854776,0.073398343,0.021052632,0.007130125,0.215827338,0,1,0.131907308,0.007130125,0,90.7,7.6,35.3,10,8.8,22.2,18.2,36.5,3.1,47.4,59.9,16.1,50.3,83.5,23.6,38.2,30.8,40.7,28.5,49.6,21.4,24.8,4.3,4.54,27.8
Martinez, J.D.,J.D. Martinez,BOS,502110,2021,34,570,634,0.049122807,23.7,8.7,0.286,0.518,0.349,0.15615142,0,0,0.031578947,0.004731861,0.689655172,0,1,0.14511041,0.007886435,1,92,17,40.9,12.5,10.8,23.8,25.2,24,2.6,49,76.6,33.6,53.3,79.2,29.2,54.2,33.4,36,30.6,34.1,31.5,28.9,5.4,4.68,26.1
Espino, Paolo,Paolo Espino,WSH,502179,2021,34,30,33,0,45.5,0,0.167,0.167,0.152,0,0,0,0,0,0,1,0,0.060606061,0.090909091,0,86.9,3.3,33.3,5.6,0,33.3,5.6,27.8,27.8,22.2,52.9,30,26.7,77.8,37.3,43.2,27.8,44.4,27.8,61.1,11.1,27.8,0,5.26,23.1
Reddick, Josh,Josh Reddick,ARI,502210,2021,34,151,158,0.013245033,19.6,3.8,0.258,0.371,0.285,0.132911392,0,0,0.026490066,0,0,0,1,0.094936709,0.006329114,1,85.1,16.8,40.5,2.5,6.6,32.2,30.6,24,4.1,32.2,72,33.3,52.1,90,21,53.5,42.1,34.7,23.1,37.2,25.6,28.1,9.1,4.53,26.3
Freeman, Mike,Mike Freeman,CIN,502273,2021,34,59,65,0,30.8,7.7,0.186,0.186,0.262,0.046153846,0.117439812,0.058719906,0.016949153,0.015384615,0.12987013,0,0,0.092307692,0,0,80.1,11.1,30.8,0,0,30.8,28.2,28.2,12.8,17.9,69,28.2,57.1,71.9,31.5,49,38.5,25.6,35.9,48.7,28.2,23.1,0,4.37,27.8
