last_name, first_name,name,team,player_id,year,Age,AB,PA,HR%,K%,BB%,AVG,SLG,OBP,RBI/PA,CSSB%,SB%,DPTP%,HBP%,IBB%,SacBunt%,SacFly%,R/PA,Sac%,Walkoff,AvgEV(MPH),AvgLA(°),SweetSpot%,Barrel%,SolidContact%,Flare/Burner%,Under%,Topped%,Poor/Weak%,HardHit%,ZoneSwing%,OutofZoneSwing%,OutofZoneContact%,InZoneContact%,Whiff%,Swing%,Pull%,StraightAway%,Oppo%,GB%,FB%,LD%,Popup%,HPto1B,SprintSpeed
Stevenson, Andrew,Andrew Stevenson,WSH,664057,2021,27,192,213,0.026041667,28.6,6.1,0.229,0.339,0.291,0.107981221,0.032266912,0.016133456,0.015625,0.023474178,0.327868852,0.666666667,0.333333333,0.103286385,0.014084507,0,89.6,8.4,28.4,6,4.5,27.6,19.4,35.8,6.7,44.8,69,29,36.9,82,28.5,49.3,30.6,44,25.4,51.5,18.7,24.6,5.2,4.21,29.3
Fletcher, David,David Fletcher,LAA,664058,2021,27,626,665,0.003194888,9,4.7,0.262,0.324,0.295,0.070676692,0.091754811,0.076462342,0.015974441,0.001503759,0.212765957,0.857142857,0.142857143,0.111278195,0.010526316,0,82.3,8.4,30.4,0,1,27.2,22.9,40.1,7.9,15.7,61.2,29.2,80.9,94,9.5,46.5,29,35.1,36,49.4,16.2,27.1,7.3,4.34,27.7
Haggerty, Sam,Sam Haggerty,SEA,664059,2021,27,86,94,0.023255814,29.8,6.4,0.186,0.291,0.245,0.053191489,0.260529744,0.21710812,0.011627907,0.010638298,0,1,0,0.159574468,0.010638298,0,87.5,7.6,35.6,5.1,10.2,15.3,18.6,40.7,10.2,39,67.2,29.4,42,78.6,31.1,48.5,47.5,27.1,25.4,52.5,20.3,20.3,6.8,4.27,29.5
Gonsolin, Tony,Tony Gonsolin,LAD,664062,2021,27,17,19,0,42.1,5.3,0.176,0.235,0.211,0,0,0,0,0,0,1,0,0.105263158,0.052631579,0,82.4,-21.4,20,0,10,0,10,60,20,20,63.9,30.8,33.3,73.9,37.1,46.7,30,50,20,80,10,10,0,4.54,26.8
Kingery, Scott,Scott Kingery,PHI,664068,2021,27,19,19,0,63.2,0,0.053,0.053,0.053,0,0,0,0,0,0,0,0,0.052631579,0,0,72.5,23.8,28.6,0,0,0,57.1,28.6,14.3,0,73.7,43.2,25,46.4,59.1,58.7,42.9,14.3,42.9,28.6,57.1,14.3,0,4.57,26.73
Brubaker, JT,JT Brubaker,PIT,664141,2021,28,38,43,0,34.9,9.3,0.079,0.079,0.163,0.069767442,0,0,0.052631579,0,0,1,0,0,0.023255814,0,81.5,-13.3,4.2,0,4.2,12.5,4.2,58.3,16.7,12.5,43.7,18.6,38.5,73.7,27.5,32.5,12.5,54.2,33.3,87.5,4.2,4.2,4.2,4.73,25.7
Lucchesi, Joey,Joey Lucchesi,NYM,664192,2021,28,10,11,0,63.6,9.1,0,0,0.091,0,0,0,0,0,0,0,0,0.090909091,0,0,74.3,-37,0,0,0,0,0,33.3,33.3,50,44,26.7,25,36.4,56.3,36.4,0,66.7,33.3,100,0,0,0,4.57,26.73
Moore, Dylan,Dylan Moore,SEA,664238,2021,29,332,377,0.036144578,29.4,10.6,0.181,0.334,0.276,0.114058355,0.249875062,0.201822166,0.018072289,0.01061008,0,0,1,0.111405836,0.00265252,0,86.5,20.4,33.3,8.6,4.5,19.8,36.5,23.9,6.8,33.3,60.9,20.8,55.5,79.4,25.9,41.3,36.9,36.9,26.1,32,31.5,23,13.5,4.38,28.4
Garlick, Kyle,Kyle Garlick,MIN,664247,2021,29,99,107,0.050505051,29.9,5.6,0.232,0.465,0.28,0.093457944,0.033377837,0.033377837,0.02020202,0.009345794,0,0,1,0.158878505,0.009345794,0,88.4,20.1,36.8,13.2,8.8,23.5,25,25,4.4,41.2,69.8,23.4,43.1,80.7,28.9,46.4,42.6,38.2,19.1,38.2,32.4,19.1,10.3,4.67,26.8
Florial, Estevan,Estevan Florial,NYY,664314,2021,24,20,25,0.05,24,20,0.3,0.55,0.44,0.08,0.090909091,0.090909091,0,0,0,0,0,0.12,0,0,89.3,5.3,35.7,7.1,14.3,14.3,14.3,35.7,14.3,64.3,66.7,25.4,40,73.5,36.7,44.5,42.9,28.6,28.6,50,21.4,28.6,0,4.21,28.9
Lopez, Alejo,Alejo Lopez,CIN,664670,2021,25,23,23,0,21.7,0,0.261,0.261,0.261,0,0,0,0.043478261,0,0,0,0,0.130434783,0,0,84.8,4.7,33.3,0,0,33.3,11.1,55.6,0,16.7,94.9,34.4,63.6,81.1,22.9,67.6,44.4,44.4,11.1,61.1,16.7,22.2,0,4.66,26.1
Straw, Myles,Myles Straw,HOU,664702,2021,27,564,638,0.007092199,19,10.5,0.271,0.348,0.348,0.07523511,0.162144633,0.135120528,0.023049645,0.003134796,0,0.2,0.8,0.134796238,0.007836991,0,87.1,11.9,42.4,1.3,2.9,29,29,32.6,4.2,26.2,59.7,19,73.6,89.8,13.5,40.4,25.7,38.8,35.5,41.1,24.6,31.5,2.9,4.12,29.3
Isbel, Kyle,Kyle Isbel,KC,664728,2021,24,76,83,0.013157895,27.7,8.4,0.276,0.434,0.337,0.084337349,0.071502628,0.071502628,0,0,0,0,0,0.192771084,0,0,87.3,19,32.1,3.8,3.8,26.4,34,24.5,7.5,30.2,65.5,32.7,52.9,85.2,23.9,49.5,35.8,30.2,34,35.8,22.6,28.3,13.2,4.31,28.2
Higgins, P.J.,P.J. Higgins,CHC,664731,2021,28,23,25,0,32,8,0.043,0.043,0.12,0,0,0,0.086956522,0,0,0,0,0.04,0,0,82.4,12.1,13.3,0,0,13.3,40,46.7,0,13.3,55.7,31.4,50,85.3,26,44.6,40,40,20,60,20,13.3,6.7,4.62,26.3
Bohm, Alec,Alec Bohm,PHI,664761,2021,25,380,417,0.018421053,26.6,7.4,0.247,0.342,0.305,0.112709832,0.03145025,0.03145025,0.031578947,0.004796163,0,0,1,0.110311751,0.009592326,0,92,5.6,33.3,6.6,7.3,30.8,16.1,37.7,0.7,49.5,73.2,26,64.7,76.6,26.7,48.9,26,42.5,31.5,52.7,16.5,28.2,2.6,4.54,27.8
Wade Jr., LaMonte,LaMonte Wade Jr.,SF,664774,2021,27,336,381,0.053571429,23.4,8.7,0.253,0.482,0.323,0.146981627,0.056881435,0.048755515,0.008928571,0.01312336,0.114942529,0.571428571,0.428571429,0.13648294,0.018372703,1,90.3,19.8,37.4,10.6,7.5,25.6,29.5,20.9,5.1,42.1,69.7,22.8,53.4,87.8,20,46.1,46.5,30.3,23.2,35.8,31.5,23.6,9.1,4.64,26.5
Tom, Ka'ai,Ka'ai Tom,PIT,664789,2021,27,108,133,0.018518519,27.1,12.8,0.139,0.231,0.278,0.090225564,0.027046032,0.027046032,0.009259259,0.037593985,0.078125,0,1,0.07518797,0.022556391,0,84.2,9.5,32,4,6.7,18.7,24,33.3,12,29.3,67.4,24.5,44.1,75.3,32.8,45.6,38.7,41.3,20,46.7,21.3,22.7,9.3,4.24,28.1
Mazeika, Patrick,Patrick Mazeika,NYM,664850,2021,28,79,87,0.012658228,20.7,4.6,0.19,0.266,0.253,0.068965517,0,0,0.025316456,0.034482759,0.217391304,0,1,0.068965517,0.011494253,2,87,11.2,29,1.6,6.5,21,27.4,35.5,6.5,21.3,62.5,37.7,61.9,89.5,21.1,49.4,38.7,35.5,25.8,41.9,17.7,27.4,12.9,4.45,25.8
