last_name, first_name,name,team,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_gnd_into_dp,b_gnd_into_tp,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,r_run,b_total_sacrifices,b_walkoff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,hp_to_1b,sprint_speed
Higashioka, Kyle,Kyle Higashioka,NYY,543309,2021,31,193,211,10,17,28,8.1,0.181,0.389,0.246,29,0,0,4,0,0,0,0,1,20,1,0,90.5,21.7,37.8,15.6,10.4,17,31.9,21.5,2.2,48.1,68.5,25.3,43.7,78.7,31.3,46.6,45.2,31.9,23,28.1,35.6,24.4,11.9,4.71,25.4
Hosmer, Eric,Eric Hosmer,SD,543333,2021,32,509,565,12,48,17.5,8.5,0.269,0.395,0.336,65,4,5,13,0,5,2,1,2,53,3,0,90.6,3.2,26.4,5.8,6.1,27.4,14.8,39.2,5.8,47.1,67,31.7,61.5,85.5,22.9,48.3,26.4,42.9,30.8,56.2,14.8,23.2,5.8,4.53,26
Lavarnway, Ryan,Ryan Lavarnway,CLE,543432,2021,34,28,30,0,1,33.3,3.3,0.25,0.357,0.267,0,0,0,0,0,0,0,1,0,2,1,0,85.7,18.9,42.1,10.5,5.3,26.3,21.1,31.6,5.3,21.1,67.9,34,61.1,71.1,32.1,51.4,42.1,47.4,10.5,42.1,15.8,26.3,15.8,,24.6
McCann, James,James McCann,NYM,543510,2021,31,375,412,10,32,27.9,7.8,0.232,0.349,0.294,46,2,1,12,0,2,1,0,3,29,3,1,87.2,9.3,31.9,6.1,6.1,22.8,20.2,37.3,6.8,40.5,71.4,32.5,54.8,82.2,27,50.2,35.4,39.2,25.5,52.1,24,20.2,3.8,4.71,26.7
Miller, Brad,Brad Miller,PHI,543543,2021,32,331,377,20,45,29.7,11.9,0.227,0.453,0.321,49,0,3,7,0,1,2,0,0,53,0,2,92.4,12.9,31.1,12.3,5,23.7,24.7,32.4,1.8,47.9,67.4,24.2,50,75.6,30.9,45.9,37.4,42,20.5,44.7,26.5,21.9,6.8,4.39,27.5
Nola, Austin,Austin Nola,SD,543592,2021,32,173,194,2,14,9.8,7.2,0.272,0.376,0.34,29,1,0,2,0,5,0,0,2,15,2,0,89.7,14.7,30.1,0.6,6.4,26.9,32.1,30.8,2.6,41,68.6,17.4,69.6,91.8,12.2,45,39.1,35.9,25,41,20.5,25.6,12.8,4.73,26
Rendon, Anthony,Anthony Rendon,LAA,543685,2021,31,217,249,6,29,16.5,11.6,0.24,0.382,0.329,34,0,0,11,0,1,2,0,2,24,2,0,89.1,22.3,31.5,5.6,5.1,26.4,37.6,21.9,3.4,38.8,71.6,21.9,66.7,87.8,17.2,46.5,41.6,29.8,28.7,31.5,34.8,22.5,11.2,4.82,25.2
Semien, Marcus,Marcus Semien,TOR,543760,2021,31,652,724,45,66,20.2,9.1,0.265,0.538,0.334,102,1,16,9,0,3,0,0,3,115,3,2,89.8,20.3,34.8,9.8,8.3,22,33,23.6,1.8,41.6,69.7,21.2,55.8,85.6,21.5,45.1,47,33.6,19.4,31,36.7,23.2,9,4.37,28.6
Shaw, Travis,Travis Shaw,MIL,543768,2021,31,220,250,9,24,27.2,9.6,0.2,0.373,0.284,39,0,0,2,0,3,0,2,1,20,3,2,87.7,19.9,31.6,9,7.1,23.2,30.3,21.3,9,38.7,67,25.1,55.4,80.6,25.7,46.4,38.7,36.1,25.2,34.8,29,24.5,11.6,4.72,25.1
Springer III, George,George Springer III,TOR,543807,2021,32,299,342,22,37,23.1,10.8,0.264,0.555,0.351,50,1,4,6,0,4,1,0,1,59,1,0,89.6,19.1,37.1,15.4,7.2,18.6,29.4,23.1,5,42.2,69.8,24.2,51.5,81,27,45.8,46.6,33.5,19.9,32.6,30.3,25.8,11.3,4.32,28.4
Vazquez, Christian,Christian Vazquez,BOS,543877,2021,31,458,498,6,33,16.9,6.6,0.258,0.352,0.307,49,5,8,15,0,2,0,1,4,51,5,0,86.3,13.6,32.7,2.6,4.7,25.9,28.8,32.2,4.7,31.3,64.9,30,71.7,87.4,17.6,47,28.8,38.3,33,42.2,28,22.4,7.4,4.71,25.2
Wong, Kolten,Kolten Wong,MIL,543939,2021,31,445,492,14,31,16.9,6.3,0.272,0.447,0.335,50,5,12,2,0,13,1,0,3,70,3,0,88.3,12.8,35.3,5.5,5.8,25.2,26,32.6,4.9,34.8,67.2,27.9,61,88.2,18.8,47.9,37.8,37,25.2,43.8,23,26.8,6.3,4.39,26.7
Gregorius, Didi,Didi Gregorius,PHI,544369,2021,31,368,408,13,25,16.4,6.1,0.209,0.37,0.27,54,0,3,8,0,8,1,0,7,35,7,0,86.1,18.3,32.1,2.3,3.6,22.4,39.6,27.6,3.9,26.6,78,31.6,61.2,80.6,24.6,54.4,44.5,32.5,23.1,38.3,26,21.8,14,4.38,27.7
Garcia, Leury,Leury Garcia,CWS,544725,2021,30,415,474,5,41,20.5,8.6,0.267,0.376,0.329,54,2,6,12,0,4,0,9,5,60,14,1,86.1,4.3,30.1,3.3,4.8,24.1,18.7,41,7.8,32.5,72.5,32.7,55.5,83.9,24.3,52.6,34.9,39.8,25.3,56.9,18.7,21.7,2.7,4.21,28.4
Vargas, Ildemaro,Ildemaro Vargas,ARI,545121,2021,30,77,83,0,6,20.5,7.2,0.156,0.221,0.217,7,0,1,2,0,0,1,0,0,7,0,0,84.6,2.8,28.3,1.7,5,20,18.3,46.7,8.3,28.3,61.6,37.5,57.4,84.7,21.1,50.2,33.3,50,16.7,55,15,23.3,6.7,4.64,27
Bauer, Trevor,Trevor Bauer,LAD,545333,2021,30,30,34,0,1,32.4,2.9,0.033,0.033,0.059,1,0,0,0,0,0,0,3,0,0,3,0,78.9,-9.9,27.3,0,0,13.6,13.6,54.5,18.2,0,61.3,24.6,53.3,69.6,27.9,44.9,27.3,40.9,31.8,68.2,9.1,22.7,0,,21.7
Grichuk, Randal,Randal Grichuk,TOR,545341,2021,30,511,545,22,27,20.9,5,0.241,0.423,0.281,81,3,0,17,0,3,0,0,4,59,4,1,89.7,16.2,30.4,8.5,6.2,18.7,30.7,30.4,3.5,40.8,73.9,32.4,55,86.8,23.2,52.3,36.4,37.4,26.2,39.7,29.4,20,11,4.44,28.1
Marisnick, Jake,Jake Marisnick,CHC,545350,2021,30,176,198,5,11,32.8,5.6,0.216,0.375,0.283,24,1,4,4,0,7,0,2,2,21,4,0,88.2,15.4,34.8,6.1,4.3,22.6,31.3,29.6,5.2,36.8,73.7,31.9,44.9,75.4,33.4,52.3,34.8,37.4,27.8,38.3,20,30.4,11.3,4.4,28.8
Stassi, Max,Max Stassi,LAA,545358,2021,30,282,319,13,28,31.7,8.8,0.241,0.426,0.326,35,0,0,8,0,8,0,0,1,45,1,0,89.8,11.1,35.2,11,6.6,24.2,19.8,33.5,3.3,42.2,65,22.9,50.4,74,31.3,44.5,40.7,39.6,19.8,45.1,26.4,23.6,4.9,4.75,26.4
Trout, Mike,Mike Trout,LAA,545361,2021,30,117,146,8,27,28.1,18.5,0.333,0.624,0.466,18,0,2,0,0,2,5,0,0,23,0,0,91.9,12.9,38.2,18.4,6.6,32.9,14.5,19.7,6.6,52.6,61.4,17.6,50,79,27.5,39.3,46.1,39.5,14.5,43.4,26.3,25,5.3,4.29,29.3
