last_name, first_name,name,team,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_gnd_into_dp,b_gnd_into_tp,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,r_run,b_total_sacrifices,b_walkoff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,hp_to_1b,sprint_speed
Owings, Chris,Chris Owings,COL,572008,2021,30,43,50,1,7,30,14,0.326,0.628,0.42,5,1,2,0,0,0,1,0,0,9,0,0,90.7,13,32.1,14.3,3.6,21.4,17.9,28.6,0,41.7,70.9,23.2,45.5,60.7,41.6,45.9,42.9,32.1,25,39.3,32.1,25,3.6,,28.2
Piscotty, Stephen,Stephen Piscotty,OAK,572039,2021,30,173,188,5,13,25.5,6.9,0.22,0.353,0.282,16,0,1,2,0,2,0,0,0,14,0,0,86.1,17.5,32.8,8.8,1.6,24.8,32,27.2,5.6,36.8,75.1,31.7,54.3,79.5,27.7,53.8,40.8,29.6,29.6,38.4,28.8,22.4,10.4,4.68,25.8
Pollock, AJ,AJ Pollock,LAD,572041,2021,34,384,422,21,30,19,7.1,0.297,0.536,0.355,69,1,9,4,0,6,4,0,2,53,2,0,90.2,12,34.3,10.8,6.9,23.9,24.2,28.1,4.6,46.9,73.6,33.4,54.4,85.9,24.2,52.8,38.2,39.2,22.5,39.5,27.8,26.8,5.9,4.39,27.8
Seager, Kyle,Kyle Seager,SEA,572122,2021,34,603,670,35,59,24,8.8,0.212,0.438,0.285,101,1,3,7,0,4,2,0,4,73,4,1,89,19.5,35.7,12.3,7.8,17.9,35,23.1,3.8,40.1,72.3,29.1,50.3,79.3,29.6,49.6,43.3,33,23.8,33.4,37.7,19.7,9.2,4.62,25.5
Taylor, Michael A.,Michael A. Taylor,KC,572191,2021,30,483,528,12,33,27.3,6.3,0.244,0.356,0.295,54,7,14,9,0,5,0,2,5,58,7,1,89.4,12.1,30.6,6.6,4.6,26.3,24.3,34.7,3.5,40.2,75.4,30.4,47.2,76.6,30.9,51.9,32.4,41.9,25.7,46.2,27.5,22.5,3.8,4.3,28.2
Thompson, Trayce,Trayce Thompson,CHC,572204,2021,30,28,35,4,7,31.4,20,0.25,0.714,0.4,9,0,2,2,0,0,0,0,0,6,0,0,92.3,16.9,47.1,35.3,11.8,17.6,11.8,23.5,0,58.8,57.3,20,52.9,79.1,28.3,37.5,58.8,23.5,17.6,35.3,41.2,17.6,5.9,,28.1
Voit III, Luke,Luke Voit III,NYY,572228,2021,30,213,241,11,21,30.7,8.7,0.239,0.437,0.328,35,0,0,12,0,7,0,0,0,26,0,1,90.7,15.9,35.3,15.8,7.9,27.3,19.4,24.5,4.3,52.2,75.7,30.1,36,69.9,40.5,51.7,46,32.4,21.6,41,34.5,19.4,5,4.91,24.9
Walker, Christian,Christian Walker,ARI,572233,2021,30,401,445,10,38,23.8,8.5,0.244,0.382,0.315,46,0,0,8,0,4,1,0,2,55,2,0,88.8,15.6,34,6.4,8.4,26.3,28.3,27.3,3.4,41.1,80.7,28,54.7,79.3,27.3,53.6,38.4,33.3,28.3,39.4,28.3,24.2,8.1,4.54,27.4
Zunino, Mike,Mike Zunino,TB,572287,2021,30,333,375,33,34,35.2,9.1,0.216,0.559,0.301,62,0,0,7,0,7,0,0,1,64,1,0,90.7,23.2,31.7,24.3,5,14.9,29.2,20.3,6.4,47,66.8,27.9,41.9,69.7,38.8,46.8,55,28.2,16.8,30.2,32.7,19.8,17.3,4.74,26
Carpenter, Matt,Matt Carpenter,STL,572761,2021,36,207,249,3,35,30.9,14.1,0.169,0.275,0.305,21,0,2,1,0,6,1,0,1,18,1,0,90,21.1,45,11.5,10.7,26.7,30.5,17.6,3.1,42,63.6,15.3,52.3,74.9,29.7,38.7,42.7,37.4,19.8,30.5,43.5,22.1,3.8,4.54,25.7
Dickerson, Corey,Corey Dickerson,MIA,572816,2021,32,336,365,6,25,18.6,6.8,0.271,0.408,0.326,29,5,6,8,0,3,1,0,1,43,1,0,87.8,10.1,29,3,7.8,23.8,23.4,38.3,3.7,35.7,75,35.1,73.1,77,24.3,54.3,36.4,35.3,28.3,49.4,20.1,22.7,7.8,4.32,27.2
Garneau, Dustin,Dustin Garneau,DET,572863,2021,34,62,68,6,3,26.5,4.4,0.21,0.581,0.25,11,0,0,2,0,1,0,0,2,9,2,0,86.4,19.2,32.6,10.9,6.5,13,37,21.7,10.9,43.5,68.8,30.3,50,74.7,33.3,48.6,52.2,28.3,19.6,34.8,32.6,19.6,13,4.62,26.3
Ruf, Darin,Darin Ruf,SF,573131,2021,35,262,312,16,46,27.9,14.7,0.271,0.519,0.385,43,1,2,8,0,3,2,0,1,41,1,0,93.1,9.7,40.9,14.2,10.8,23.3,17,31.8,1.7,54.9,57.5,19.8,51.8,83.6,25,38.1,40.3,36.9,22.7,43.8,23.3,29.5,3.4,4.7,25.9
Stroman, Marcus,Marcus Stroman,NYM,573186,2021,30,51,58,0,4,41.4,6.9,0.098,0.137,0.155,1,0,1,0,0,0,0,3,0,2,3,0,80,-2.9,26.7,0,0,13.3,16.7,26.7,43.3,13.3,67,34.6,40.7,58.2,36.2,52.8,33.3,46.7,20,70,6.7,16.7,6.7,,24.1
Yastrzemski, Mike,Mike Yastrzemski,SF,573262,2021,31,468,532,25,51,24.6,9.6,0.224,0.457,0.31,71,0,4,3,0,9,4,1,3,75,4,0,89.5,19.2,32.8,10.3,7.6,19.9,32.6,24.6,3.2,39.2,67.7,22.9,59.1,80.3,24.2,45.9,46.3,33.1,20.5,34.3,35.8,22,7.9,4.39,27.3
Contreras, Willson,Willson Contreras,CHC,575929,2021,29,413,483,21,52,28.6,10.8,0.237,0.438,0.34,57,4,5,11,0,14,1,0,4,61,4,0,91.8,9.6,30.1,11.1,9,19.7,18.6,37.6,3.6,48.4,66.1,26.8,40.1,76.9,34.5,45.1,37.3,37.6,25.1,51.6,25.1,18.6,4.7,4.44,27.6
Iglesias, Jose,Jose Iglesias,LAA,578428,2021,31,483,511,9,21,14.7,4.1,0.271,0.391,0.309,48,2,5,10,0,6,0,0,1,65,1,0,85.4,11.3,35.5,3.4,2.9,28.4,26.7,31.5,6.1,28.6,68.5,43.2,69.8,89.3,18.9,55,32.3,44.3,23.5,42.1,22,29.3,6.6,4.21,28.3
Torreyes, Ronald,Ronald Torreyes,PHI,591720,2021,29,318,344,7,19,11.9,5.5,0.242,0.346,0.282,41,1,2,7,0,1,2,5,1,30,6,0,82.2,12.2,30.4,0.4,4.2,22.3,29,33.9,10.2,14.1,72.1,32.2,73.6,90.4,14.1,52.8,38.2,37.5,24.4,48.1,22.3,22.6,7.1,4.45,26.9
Valera, Breyvic,Breyvic Valera,TOR,591971,2021,29,87,97,1,8,12.4,8.2,0.253,0.356,0.309,15,0,1,1,0,0,0,1,1,10,2,0,86,15.3,33.8,0,2.6,28.6,33.8,27.3,7.8,19.5,55.5,18,83.3,92.3,6.5,37.2,36.4,37.7,26,37.7,24.7,29.9,7.8,,26.9
Bryant, Kris,Kris Bryant,CHC,592178,2021,29,513,586,25,62,23,10.6,0.265,0.481,0.353,73,2,10,9,0,9,4,0,2,86,2,1,88.1,15.1,36.6,10.3,6.1,24.7,27.1,25.8,5,39.9,73.7,26.6,47,82.3,28,48.7,38.2,38.9,22.9,37.9,29.5,26.3,6.3,4.38,27.9
Canha, Mark,Mark Canha,OAK,592192,2021,32,519,625,17,77,20.5,12.3,0.231,0.387,0.358,61,2,12,9,0,27,0,0,2,93,2,1,87.3,13.5,36.1,7.1,5.9,23.7,26.7,31.8,4.8,35.4,61.5,20.7,61.4,84.6,21.5,40.5,39.7,36.4,23.9,42.2,24.4,26,7.4,4.42,27.8
Casali, Curt,Curt Casali,SF,592200,2021,33,200,231,5,26,28.6,11.3,0.21,0.35,0.312,26,0,0,3,0,4,4,1,0,20,1,1,86.4,23,34.8,5.9,5.9,26.7,35.6,17.8,6.7,31.6,72.6,20,46.7,77.2,29.5,46.1,54.1,29.6,16.3,31.9,34.8,20.7,12.6,4.89,24.9
Castellanos, Nick,Nick Castellanos,CIN,592206,2021,29,531,585,34,41,20.7,7,0.309,0.576,0.362,100,1,3,16,0,7,5,0,6,95,6,2,89.8,14,44,10.6,11.5,24.3,21.4,26,6.3,46.9,78.8,36.3,51.4,79.8,30.6,55,39.2,35.8,25,38,29.1,29.3,3.6,4.42,27.6
DeShields, Delino,Delino DeShields,CIN,592261,2021,29,47,58,1,9,19,15.5,0.255,0.426,0.362,6,1,2,0,0,0,0,2,0,4,2,0,88.2,13,31.6,7.9,10.5,21.1,23.7,26.3,10.5,39.5,65.4,13.2,60,77.6,24,41,34.2,50,15.8,47.4,34.2,18.4,0,,28.3
Drury, Brandon,Brandon Drury,NYM,592273,2021,29,84,88,4,3,25,3.4,0.274,0.476,0.307,14,0,0,3,0,1,0,0,0,7,0,1,89.7,11.7,24.2,6.5,6.5,19.4,24.2,35.5,6.5,46.8,65.2,39,58.3,86.4,24,52.2,41.9,40.3,17.7,51.6,19.4,19.4,9.7,4.61,26.4
Gamel, Ben,Ben Gamel,PIT,592325,2021,29,340,400,8,51,26.3,12.8,0.247,0.388,0.345,26,6,3,7,0,3,2,2,4,43,6,0,89,16.7,41.5,7.9,8.7,23.2,31.1,24.1,5,36.5,65.7,23.4,41,83,27,44.5,39,38.2,22.8,32.4,29,33.2,5.4,4.37,27.7
Gausman, Kevin,Kevin Gausman,SF,592332,2021,30,54,62,0,2,50,3.2,0.185,0.185,0.194,4,0,0,0,0,0,0,5,1,6,6,1,82.5,-5.3,17.2,0,0,20.7,6.9,34.5,34.5,0,57.6,35.4,20.6,62.5,29.8,48.7,17.2,48.3,34.5,82.8,6.9,10.3,0,,23.2
Gonzalez, Chi Chi,Chi Chi Gonzalez,COL,592346,2021,29,31,34,0,1,47.1,2.9,0.161,0.194,0.176,1,0,0,0,0,0,0,2,0,3,2,0,82.6,-7.7,23.5,5.9,0,17.6,5.9,35.3,35.3,29.4,52.9,32.6,26.7,66.7,34.6,44.4,11.8,70.6,17.6,70.6,11.8,17.6,0,,22.7
Goodrum, Niko,Niko Goodrum,DET,592348,2021,29,290,325,9,29,32.9,8.9,0.214,0.359,0.292,33,5,14,6,0,4,0,0,2,39,2,0,88,13.4,37.8,10.3,6.5,25.4,24.3,30.3,3.2,40,68.8,28.5,43.8,70.6,37,48.5,38.4,38.9,22.7,41.1,31.4,24.3,3.2,4.34,28.5
Gray, Jon,Jon Gray,TEX,592351,2021,30,47,50,0,0,64,0,0.106,0.106,0.1,3,0,0,0,0,0,0,3,0,2,3,0,87.1,20.5,27.8,0,0,27.8,27.8,22.2,22.2,27.8,53.3,34.2,30.8,51.6,43.3,45.9,11.1,61.1,27.8,50,11.1,27.8,11.1,,22.7
Holaday, Bryan,Bryan Holaday,ARI,592407,2021,34,31,34,0,1,44.1,2.9,0.194,0.258,0.265,1,0,0,0,0,2,0,0,0,2,0,0,88.4,22.8,31.3,0,6.3,31.3,31.3,31.3,0,25,72.8,31.1,47.4,59.3,43.6,54.9,43.8,37.5,18.8,37.5,25,25,12.5,,24.9
Jones, JaCoby,JaCoby Jones,DET,592444,2021,29,100,105,2,5,40,4.8,0.17,0.25,0.21,9,2,2,2,0,0,0,0,0,9,0,0,89.4,10.3,41.4,8.6,6.9,22.4,22.4,39.7,0,36.2,65.3,37.2,50,69.8,36.7,52.3,31,39.7,29.3,44.8,20.7,31,3.4,4.54,27.4
Judge, Aaron,Aaron Judge,NYY,592450,2021,29,550,633,39,75,25,11.8,0.287,0.544,0.373,98,2,6,16,0,3,2,0,5,89,5,2,95.8,11.6,38.5,17.6,9.1,23.7,17.6,29.5,1.8,58.4,66.1,23.6,50.4,79.9,29.1,42.5,35.8,37.3,27,42.1,28,27.2,2.8,4.65,27.6
Machado, Manny,Manny Machado,SD,592518,2021,29,564,640,28,63,15.9,9.8,0.278,0.489,0.347,106,5,12,10,0,2,10,0,11,92,11,0,93.1,14.1,33.8,13.3,7,24.1,24.7,27.5,2.7,52.4,70.1,29.1,58.6,85.7,23,48,38.3,40,21.8,39.5,25.4,26.4,8.7,4.52,26.4
Marmolejos, Jose,Jose Marmolejos,SEA,592530,2021,28,106,122,4,15,32,12.3,0.16,0.311,0.262,12,0,0,0,0,0,0,0,1,11,1,0,89.4,22.7,30.9,10.3,5.9,14.7,42.6,25,1.5,35.3,64,26.3,49.3,77.2,31.8,43.8,42.6,26.5,30.9,29.4,30.9,25,14.7,4.65,25.7
Moran, Colin,Colin Moran,PIT,592567,2021,29,318,359,10,36,24.2,10,0.258,0.39,0.334,50,0,1,6,0,2,0,0,3,29,3,1,89.1,7.2,34.2,8.1,3.8,29.1,18.8,35,4.7,37.2,69.5,31.6,61,79.3,26.9,49.1,32.5,42.7,24.8,51.3,20.5,24.4,3.8,4.83,23.9
Payton, Mark,Mark Payton,CIN,592622,2021,30,22,24,0,2,29.2,8.3,0.182,0.182,0.25,0,0,0,0,0,0,0,0,0,2,0,0,85.1,12.4,26.7,0,0,33.3,33.3,26.7,6.7,33.3,64.4,23.9,54.5,75.9,30,44,26.7,60,13.3,40,33.3,26.7,0,,27.5
Pederson, Joc,Joc Pederson,CHC,592626,2021,29,429,481,18,39,24.3,8.1,0.238,0.422,0.31,61,3,2,9,0,8,0,0,5,55,5,1,90.9,14.1,30.6,9.5,9.5,21.1,25.2,28.4,5,47.5,66.7,32.5,61.3,79.4,26.3,48.7,34.4,39.7,25.9,40.1,29.3,22.7,7.9,4.38,26.9
Ramos, Henry,Henry Ramos,ARI,592656,2021,29,50,55,1,4,21.8,7.3,0.2,0.3,0.255,8,0,0,1,0,0,0,0,1,5,1,0,87.3,13.7,23.1,5.1,2.6,20.5,28.2,38.5,5.1,30.8,77.5,31.8,50,87.3,23,54.1,35.9,35.9,28.2,51.3,20.5,20.5,7.7,,26.3
Realmuto, J.T.,J.T. Realmuto,PHI,592663,2021,30,476,537,17,48,24,8.9,0.263,0.439,0.343,73,3,13,8,0,11,5,0,2,64,2,2,89.6,11.5,31.2,8.6,6,26.6,22.9,32.1,3.7,44.7,70,30.4,61.8,78.2,27,49.5,31.5,35.8,32.7,46.7,24.4,23.2,5.7,4.28,28.8
Renfroe, Hunter,Hunter Renfroe,BOS,592669,2021,29,521,572,31,44,22.7,7.7,0.259,0.501,0.315,96,2,1,6,0,1,0,0,6,89,6,1,90.1,15.6,31.7,13.9,6.3,18.4,27,29,3.3,44.4,66.8,31.9,60.9,80.9,25.9,48.2,42.1,31.5,26.4,38.5,27,22.9,11.6,4.49,27.3
Rosario, Eddie,Eddie Rosario,CLE,592696,2021,30,379,412,14,26,14.8,6.3,0.259,0.435,0.303,62,3,11,4,0,1,0,2,4,42,6,0,88.5,15.4,34.3,5.9,9,22.5,28.7,28.7,4.3,35.9,76,35,73.4,84.9,19.2,53.5,40.1,35.2,24.7,38.6,28.7,24.7,8,4.33,27.2
Sampson, Adrian,Adrian Sampson,CHC,592716,2021,30,7,11,0,0,63.6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,,,25,0,0,0,0,0,100,0,60,47.1,12.5,66.7,39.1,54.8,0,25,75,100,0,0,0,,
Sanchez, Aaron,Aaron Sanchez,SF,592717,2021,29,10,10,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,-7.7,0,0,0,0,33.3,66.7,0,0,85.7,20,0,62.5,42.3,68.4,0,66.7,33.3,66.7,0,0,33.3,,
Simmons, Andrelton,Andrelton Simmons,MIN,592743,2021,32,412,451,3,32,13.7,7.1,0.223,0.274,0.282,31,0,1,14,0,3,0,3,1,37,4,0,84.1,3.9,29.1,0.6,1.1,22.6,23.2,44.6,7.9,21.8,62.3,28.3,71.7,87.7,16.5,45,37,42.1,20.9,54.8,16.4,21.8,7.1,4.68,26.2
Smith, Caleb,Caleb Smith,ARI,592761,2021,30,22,25,0,1,56,4,0.091,0.136,0.16,0,0,1,0,0,1,0,1,0,2,1,0,74.2,-16.8,22.2,0,11.1,11.1,0,22.2,55.6,11.1,47.2,25.6,36.4,64,36.1,37.5,11.1,66.7,22.2,77.8,11.1,11.1,0,,27
Smyly, Drew,Drew Smyly,ATL,592767,2021,32,41,43,0,0,44.2,0,0.073,0.073,0.07,0,0,0,0,0,0,0,2,0,0,2,0,77.2,-2.3,16.7,0,0,12.5,8.3,54.2,20.8,4.3,65.2,36.2,52.4,68.3,28,54.3,37.5,37.5,25,75,8.3,8.3,8.3,,23.1
Velasquez, Vince,Vince Velasquez,SD,592826,2021,29,23,30,0,2,30,6.7,0.087,0.087,0.133,3,0,0,0,0,0,0,5,0,0,5,0,84.7,8.2,21.1,0,5.3,21.1,10.5,26.3,36.8,31.6,72,38.6,35.3,75,22.6,56.4,21.1,36.8,42.1,68.4,5.3,15.8,10.5,,26.2
Walker, Taijuan,Taijuan Walker,NYM,592836,2021,29,47,51,0,1,56.9,2,0.106,0.106,0.137,1,0,0,1,0,1,0,2,0,0,2,0,82.6,-9.7,25,0,0,20,5,40,25,20,56.5,33.8,30.8,55.4,36.3,47.4,20,35,45,70,5,25,0,,27.2
Wilkerson, Stevie,Stevie Wilkerson,BAL,592859,2021,29,72,76,0,3,39.5,3.9,0.167,0.208,0.211,2,0,2,0,0,1,0,0,0,5,0,0,85,4.5,33.3,0,4.8,21.4,21.4,40.5,11.9,23.8,64.2,32.3,35.7,76.5,35.4,49.8,38.1,42.9,19,57.1,14.3,23.8,4.8,,27
Williams, Mason,Mason Williams,NYM,592863,2021,30,33,37,1,4,24.3,10.8,0.212,0.333,0.297,1,1,0,1,0,0,1,0,0,3,0,0,85.8,10.3,29.2,4.2,8.3,20.8,25,37.5,4.2,25,72.2,28.6,62.5,76.9,26.5,53.1,41.7,33.3,25,50,29.2,16.7,4.2,,26.7
Williams, Trevor,Trevor Williams,NYM,592866,2021,29,25,28,0,1,32.1,3.6,0.2,0.2,0.214,1,0,0,0,0,0,0,2,0,1,2,0,82.8,-14.6,11.1,0,0,11.1,11.1,55.6,22.2,22.2,47.7,15.9,71.4,80.6,15.8,34.9,22.2,50,27.8,83.3,5.6,11.1,0,,20.3
Yelich, Christian,Christian Yelich,MIL,592885,2021,30,399,475,9,70,23.8,14.7,0.248,0.373,0.362,51,3,9,5,0,3,5,0,3,70,3,0,91,2.8,29.4,7.6,8.3,20.8,16.3,43.9,3.1,48.8,67.1,18,47.9,83.2,24.9,41.4,33.9,36.3,29.8,55.7,17,23.9,3.5,4.35,28.3
Merrifield, Whit,Whit Merrifield,KC,593160,2021,32,664,720,10,40,14.3,5.6,0.277,0.395,0.317,74,4,40,12,0,4,1,0,12,97,12,0,86.8,13.9,40,3.5,7.2,27.1,27.1,31.8,3.3,28.8,71.3,29,71.1,85.9,18.1,50,34,34.2,31.8,41.7,25.8,26.7,5.8,4.32,28.6
Martinez, Carlos,Carlos Martinez,STL,593372,2021,30,24,25,0,0,60,0,0.083,0.125,0.08,0,0,0,0,0,0,0,1,0,1,1,0,79.5,-16.8,20,0,0,20,20,30,30,10,60,54.1,35,72.7,37.7,57.6,40,40,20,70,10,20,0,,
Bogaerts, Xander,Xander Bogaerts,BOS,593428,2021,29,529,603,23,62,18.7,10.3,0.295,0.493,0.37,79,1,5,13,0,5,2,0,7,90,7,0,89.6,12.4,35.9,9.5,5.9,24.8,24.6,31,3.1,43.2,62.3,31,66.5,84.6,22,45.7,41.6,35,23.4,40.2,23.9,28.8,7.1,4.29,27.7
Bonifacio, Jorge,Jorge Bonifacio,PHI,593528,2021,28,11,12,0,1,50,8.3,0.091,0.091,0.167,2,0,0,0,0,0,0,0,0,0,0,0,74.6,12.8,20,0,20,0,40,0,40,20,71.4,36,22.2,66.7,50,52.2,20,20,60,40,40,20,0,,
Rivas, Webster,Webster Rivas,SD,593590,2021,31,68,77,2,8,20.8,10.4,0.221,0.338,0.299,4,0,0,6,0,0,0,1,0,8,1,0,86.6,10.2,26.4,3.8,1.9,18.9,24.5,43.4,7.5,32.1,64.4,32.5,59.2,88.2,20.9,47.3,39.6,32.1,28.3,58.5,18.9,15.1,7.5,4.79,25.4
Alberto, Hanser,Hanser Alberto,KC,593643,2021,29,241,255,2,4,10.2,1.6,0.27,0.402,0.286,24,1,4,1,0,4,0,4,2,25,6,0,87.1,16.1,32.6,4.5,4.5,25.8,29,27.6,8.6,30.3,82,48.2,71.8,89.6,15.3,64.4,39.8,39.4,20.8,40.3,24.9,24.9,10,4.45,26.8
Polanco, Jorge,Jorge Polanco,MIN,593871,2021,28,588,644,33,45,18.3,7,0.269,0.503,0.323,98,6,11,4,0,5,0,0,6,97,6,5,89.4,19.3,36.1,10.1,5.9,22.9,33.2,22.7,5,37.4,70.5,29.7,62.3,87.5,19.7,49.5,51.9,29.6,18.5,33,32.8,27.1,7.1,4.23,28
Sano, Miguel,Miguel Sano,MIN,593934,2021,28,470,532,30,59,34.4,11.1,0.223,0.466,0.312,75,1,2,13,0,2,2,0,1,68,1,1,93.4,17.6,32.3,17.7,5.2,21.9,28.8,21.5,4.5,55.9,66.1,26.6,36.3,74.1,38.2,44.6,43.8,30.2,26,39.2,29.9,22.6,8.3,4.76,26.5
Difo, Wilmer,Wilmer Difo,PIT,594694,2021,29,219,240,4,20,22.5,8.3,0.269,0.384,0.329,24,0,1,2,0,0,0,0,1,25,1,0,83.7,12.2,31.9,4.2,1.8,24.1,28.3,33.1,7.8,23.5,80,26.6,60.7,74.4,28,53.5,36.7,34.3,28.9,45.2,24.7,21.7,8.4,4.31,28.6
Calhoun, Kole,Kole Calhoun,ARI,594777,2021,34,166,182,5,15,22.5,8.2,0.235,0.373,0.297,17,0,1,2,0,0,0,0,1,17,1,0,88.5,17.3,38.1,6.3,11.1,23.8,29.4,25.4,4,38.9,81.7,24.4,46.8,75.1,31.9,51.6,46,27.8,26.2,38.1,28.6,23.8,9.5,4.74,24.7
deGrom, Jacob,Jacob deGrom,NYM,594798,2021,33,33,33,0,0,27.3,0,0.364,0.394,0.364,6,0,0,0,0,0,0,0,0,4,0,0,84.7,1.1,41.7,0,0,41.7,12.5,37.5,8.3,16.7,80,40.5,29.4,70.8,33.8,63.7,37.5,29.2,33.3,45.8,16.7,33.3,4.2,,28.3
Duvall, Adam,Adam Duvall,MIA,594807,2021,33,513,555,38,35,31.4,6.3,0.228,0.491,0.281,113,0,5,7,0,4,1,0,3,67,3,0,89.7,23.6,33.3,15.8,5,20.5,33.9,20.2,4.4,43.7,67.1,33.8,51.9,80.7,29.3,50,46.8,35.4,17.8,30.7,40.1,17.8,11.4,4.43,28.6
Eaton, Adam,Adam Eaton,CWS,594809,2021,33,254,288,6,22,24.7,7.6,0.201,0.327,0.278,30,0,3,6,0,7,0,4,1,38,5,0,86.6,8.3,29.3,4.3,5.3,22.9,20.7,37.8,9,34,66.9,29.5,60.1,82.4,23.5,47.4,29.8,39.9,30.3,53.2,23.9,19.7,3.2,4.25,28
Gosselin, Phil,Phil Gosselin,LAA,594838,2021,33,345,373,7,24,21.7,6.4,0.261,0.362,0.314,47,2,4,3,0,3,0,0,1,40,1,0,87.6,11.5,30.2,3.4,8.3,24.9,24.9,33.6,4.5,35.1,60.9,31.4,63.4,86.1,20.9,45.7,28.7,41.1,30.2,45.3,26.8,22.3,5.7,4.27,29.2
Schebler, Scott,Scott Schebler,LAA,594988,2021,31,34,34,0,0,50,0,0.147,0.235,0.147,0,0,0,0,0,0,0,0,0,3,0,0,83.9,20,52.9,5.9,5.9,29.4,35.3,23.5,0,23.5,78.5,46.9,34.8,68.6,41.9,64.9,29.4,35.3,35.3,35.3,23.5,23.5,17.6,,27.3
Kiermaier, Kevin,Kevin Kiermaier,TB,595281,2021,31,348,390,4,33,25.4,8.5,0.259,0.388,0.328,37,5,9,4,0,5,2,0,4,54,4,0,86.6,1.1,29.6,4,3.6,27.7,16.6,41.9,5.9,36.4,74.7,30.2,49.1,76.3,31.3,51.5,31.2,45.1,23.7,56.1,16.6,23.7,3.6,4.11,29.2
Knapp, Andrew,Andrew Knapp,PHI,595284,2021,30,145,159,2,10,38.4,6.3,0.152,0.214,0.214,11,0,0,1,0,2,0,1,1,13,2,1,86.2,13.1,27.9,3.5,9.3,18.6,29.1,25.6,14,31.4,75.9,36.9,47,69.5,37.6,56.2,38.4,30.2,31.4,46.5,30.2,18.6,4.7,,27.4
Wallach, Chad,Chad Wallach,MIA,595453,2021,30,60,66,0,3,48.5,4.5,0.2,0.267,0.242,6,0,0,1,0,1,0,0,2,2,2,0,84.9,8.1,33.3,3.3,6.7,23.3,20,40,3.3,36.7,63.2,36.5,37.9,67.9,44.4,48.6,23.3,33.3,43.3,56.7,26.7,16.7,0,,24.1
Alfaro, Jorge,Jorge Alfaro,MIA,595751,2021,28,295,311,4,11,31.8,3.5,0.244,0.342,0.283,30,1,8,8,0,5,0,0,0,22,0,2,90.9,1.8,27.6,8.2,5.6,28.1,13.8,39.3,4.6,49,78.7,43.2,49.2,78.7,33.2,59.1,26.5,45.4,28.1,57.1,15.3,25.5,2,4.44,28.4
Profar, Jurickson,Jurickson Profar,SD,595777,2021,28,353,412,4,49,15.8,11.9,0.227,0.32,0.328,33,5,10,12,0,6,1,1,2,47,3,0,85.6,13.9,30.6,2.7,3.4,24.7,29.6,32.3,5.8,30.7,65.3,22.2,68.8,85.9,17.9,43.7,35.7,34.4,29.9,43.3,20.6,23.7,12.4,4.5,26.3
Baez, Javier,Javier Baez,CHC,595879,2021,29,502,547,31,28,33.6,5.1,0.265,0.494,0.318,87,5,18,12,0,13,2,0,3,80,3,1,90.1,10.6,32.7,13.4,7.2,20.9,18.4,35.5,4.4,45.2,75.9,44.5,46.7,70.3,40.5,56.9,40.2,37.7,22.1,46.7,24.9,20.6,7.8,4.32,28.6
Cave, Jake,Jake Cave,MIN,595909,2021,29,164,178,3,10,34.8,5.6,0.189,0.293,0.247,13,1,1,0,0,3,0,1,0,14,1,0,87,8.4,38.8,5.8,7.8,27.2,15.5,37.9,5.8,33,66.9,22.5,32.1,78.3,32.4,45.5,33,39.8,27.2,52.4,15.5,28.2,3.9,4.42,27.9
Evans, Phillip,Phillip Evans,PIT,595943,2021,29,214,247,5,28,21.5,11.3,0.206,0.299,0.312,16,0,1,3,0,5,1,0,0,23,0,0,88.4,5.3,25.5,4.3,3.7,27.3,18,41.6,5,42.9,67.6,25.8,55.7,85.9,23.6,44.7,34.8,40.4,24.8,56.5,17.4,19.9,6.2,4.46,27.6
Gallagher, Cam,Cam Gallagher,KC,595956,2021,29,112,124,1,8,16.1,6.5,0.25,0.33,0.29,7,0,0,2,0,0,0,2,1,9,3,0,85.9,14.5,35.8,0,2.1,32.6,30.5,27.4,7.4,27.4,67.6,30.8,65.6,92.8,15.3,49.9,40,29.5,30.5,40,20,32.6,7.4,4.86,24.7
Hedges, Austin,Austin Hedges,CLE,595978,2021,29,286,312,10,15,27.9,4.8,0.178,0.308,0.215,31,0,1,7,0,1,1,7,3,32,10,0,85.7,18.9,27.8,3.8,2.9,22.5,34,27.3,8.1,30.1,74.5,33.8,51,77.6,29.4,54,44,32.5,23.4,38.3,28.2,20.6,12.9,4.97,24.5
