"last_name","first_name","name","team","player_id","year","Age","HR.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","HBP.","IBB.","SacBunt.","SacFly.","Sac.","Walkoff","SweetSpot.","Barrel.","SolidContact.","Flare.Burner.","Under.","Topped.","Poor.Weak.","HardHit.","HPto1B","SprintSpeed"
"Hill"," Rich","Rich Hill","BOS",448179,2021,3.403414045,-1.143454263,-1.824891613,-1.078800257,-1.471551447,-1.753656363,-1.804190212,-0.629532178,-0.57571644,3.690424128,-0.755223947,-0.540844416,1.74447806,-1.024238431,1.237908906,-0.460692573,-1.347403029,-1.19977291,-1.38148435,-2.05612288,-2.518995496,0.439775583,4.070542554,-2.675143306,0.898815971,-0.932082694
"Morton"," Charlie","Charlie Morton","ATL",450203,2021,2.580478872,-1.143454263,-1.824891613,-1.052405826,-1.332526956,-1.776058898,-1.487446753,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,2.051021007,-0.460692573,-0.564590529,-1.19977291,-0.559645889,0.114329098,-0.834748993,-0.384828485,1.720161751,-2.160659399,3.66379478,-3.042652686
"Fowler"," Dexter","Dexter Fowler","LAA",451594,2021,1.757543699,-1.143454263,-0.672556338,0.57085169,-0.602648378,0.161760381,-0.869042835,1.637606529,2.272179336,-1.071443357,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,1.347708576,-1.19977291,4.114560359,0.913268477,0.472895808,-1.122121533,-0.776579762,0.720450478,0.010072783,-0.002291049
"Lester"," Jon","Jon Lester","STL",452657,2021,2.306167148,-0.269899753,-0.888619202,-0.524517203,-0.456672662,-0.846353695,-0.649008176,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,-0.057352832,-0.460692573,1.023400541,0.350165356,-0.354186273,1.366000791,-1.263656487,-0.481840728,0.600932797,0.490911504,0.010072783,-0.002291049
"Cabrera"," Asdrubal","Asdrubal Cabrera","ARI",452678,2021,2.031855423,-0.193569719,0.623820847,0.306907378,0.20369367,0.464194604,0.538991552,-0.505944144,-0.420469723,0.407971811,-0.159968821,-0.029872411,-0.702738134,1.1501875,-0.243662913,1.137539481,-0.09490303,-0.03731921,-0.379868725,0.367326568,0.713502452,-0.200505222,-0.440811076,-0.229365965,0.734233899,-1.046167558
"LeBlanc"," Wade","Wade LeBlanc","STL",453281,2021,2.306167148,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,2.976286497,-0.460692573,-3.449813742,-1.19977291,-1.38148435,-2.895009228,-0.426763815,2.622551056,0.945310936,-2.675143306,0.010072783,-0.002291049
"Scherzer"," Max","Max Scherzer","NYM",453286,2021,2.306167148,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.49247442,-0.629532178,-0.57571644,-0.102927906,-0.755223947,-0.540844416,1.132674011,-0.480631948,0.934382647,-0.460692573,-0.888898565,-1.19977291,0.082415409,-2.895009228,-0.730137409,2.622551056,0.454572087,-0.862576927,4.025875338,-3.270822415
"Arrieta"," Jake","Jake Arrieta","SD",453562,2021,1.757543699,-1.143454263,-0.216423625,-1.01281418,-1.436795324,-0.801548625,-1.804190212,-0.629532178,-0.57571644,-1.071443357,1.57288504,-0.540844416,1.74447806,-1.024238431,2.512719129,-0.460692573,-0.396844994,-1.19977291,-1.38148435,-0.471559779,-1.567030081,-1.432560711,3.915572391,-1.234588367,0.010072783,-0.002291049
"Blackmon"," Charlie","Charlie Blackmon","COL",453568,2021,1.757543699,-0.082952265,0.407757983,0.834796001,0.516498775,0.889842769,0.827719403,-0.429566905,-0.324527461,-0.182067344,0.564837888,0.019576493,-0.702738134,1.1501875,-0.383979469,4.334003589,0.151123756,0.156423073,-0.482598533,0.979846758,-0.311691072,0.032324161,-0.371935448,0.388014723,-0.779921163,0.551020544
"Frazier"," Todd","Todd Frazier","PIT",453943,2021,1.757543699,-1.143454263,-0.024367746,-1.593491665,-1.548014917,-0.801548625,0.159619263,-0.629532178,-0.57571644,0.561196955,2.736939568,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,-1.5263316,-0.541049147,0.390604832,-1.523496628,1.090104154,1.147964959,-0.776579762,0.055578968,0.767150313,-1.445464584
"Maldonado"," Martin","Martin Maldonado","HOU",455117,2021,1.757543699,0.205520024,0.815876726,-0.458531125,-0.25508715,0.004942636,-0.144632914,-0.629532178,-0.57571644,0.307327912,0.064532733,-0.067034012,-0.702738134,1.1501875,-0.4474196,-0.460692573,-0.005438744,-0.095441895,0.287875024,0.234170005,0.954109095,-0.607956644,-0.389154355,-0.047317814,1.557144259,-1.84476161
"Chirinos"," Robinson","Robinson Chirinos","CHC",455139,2021,2.306167148,1.017917764,0.095667179,0.267315731,0.815401431,0.553804744,0.825911755,-0.629532178,-0.57571644,0.106750682,2.362779181,-0.540844416,1.74447806,-1.024238431,-0.298692725,-0.460692573,-0.206733387,0.369539584,1.520632716,0.753480601,0.514740442,-1.636286422,-0.079214029,0.902498629,1.096314457,-1.103209991
"Price"," David","David Price","LAD",456034,2021,2.031855423,-1.143454263,-1.824891613,0.795204354,-0.02569674,-0.555120739,0.377820314,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,0.928739329,-0.299429788,3.2660161,-0.460692573,-1.213206601,-1.19977291,-1.38148435,-0.231877966,-1.127661428,0.032324161,1.52214432,-0.039402677,0.010072783,-0.002291049
"Cueto"," Johnny","Johnny Cueto","SF",456501,2021,1.757543699,-1.143454263,0.119674164,-1.81784433,-1.860820022,-1.529631012,-1.804190212,2.096480839,2.848600269,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,2.553437888,-0.460692573,-2.555170885,-1.19977291,-1.38148435,-1.829756723,-0.845210151,1.458404137,1.634067216,-2.358537825,1.622977088,-1.559549448
"Cain"," Lorenzo","Lorenzo Cain","MIL",456715,2021,1.757543699,0.161778969,0.359744013,0.663232199,0.44698653,0.643414884,0.667737801,1.541132534,1.787431118,0.040276688,-0.266809469,-0.540844416,-0.702738134,1.1501875,-0.421451533,-0.460692573,-0.206733387,-0.366681092,0.210827669,-0.045458777,-0.081545587,0.818123332,-0.526905611,0.300948215,-0.615339091,1.121444866
