"","Age","AB","PA","HR.","K.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","HBP.","IBB.","SacBunt.","SacFly.","R.PA","Sac.","Walkoff","AvgEV.MPH.","AvgLA.°.","SweetSpot.","Barrel.","SolidContact.","Flare.Burner.","Under.","Topped.","Poor.Weak.","HardHit.","ZoneSwing.","OutofZoneSwing.","OutofZoneContact.","InZoneContact.","Whiff.","Swing.","Pull.","StraightAway.","Oppo.","GB.","FB.","LD.","Popup.","HPto1B","SprintSpeed"
"671",-0.711261821,-1.006461231,-0.975453367,-1.143454263,1.294525391,-1.248723976,-0.247375676,-0.602648378,-1.171190452,-0.401469167,-0.629532178,-0.57571644,0.714256957,-0.755223947,-0.540844416,1.74447806,-1.024238431,-1.201939377,4.342154593,-0.460692573,1.895306086,-0.609143276,-1.023094993,-1.19977291,-0.277138918,-0.57808503,-2.069165685,-1.09301786,3.717554961,0.079324379,-1.875537353,-0.869816752,-1.665374354,-1.312972884,0.007937741,-1.100896321,-1.697856818,1.1630463,0.856673257,1.77433511,-2.366774178,-0.002035743,-0.533531191,0.306320512,-0.361658372
"672",-1.25988527,-1.097449866,-1.099140555,-1.143454263,0.290747185,-0.312451564,0.795204354,-0.02569674,0.464194604,-1.804190212,-0.629532178,-0.57571644,2.738050665,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-2.230736498,-0.500468685,-0.460692573,0.554290869,0.240360367,1.023400541,0.737649923,1.186760841,-0.231877966,-0.426763815,-0.287816241,0.084365587,2.073938909,1.214881721,0.054371745,0.229838756,0.485903351,-0.179495362,0.389609249,-3.344141226,3.638516522,0.309608108,-1.260921576,-0.330097442,2.57060602,0.679737581,1.721726331,-1.616591881
"673",-1.534196994,1.032754636,1.017813239,0.176395689,-0.124609314,0.527792907,0.68962663,0.690279389,0.654616151,0.538749512,1.33958352,1.448081073,-0.379646598,-0.755223947,-0.009016414,-0.702738134,1.1501875,0.581160171,-0.353404208,1.137539481,-0.241936915,0.365855223,0.732641613,0.505159183,0.287875024,0.18090738,0.190444531,-0.161700325,-0.397763808,-0.118554047,0.366283041,-0.64177024,0.250741842,-0.423873136,0.253943688,-0.292217767,0.19442411,-0.141593411,-0.089293563,-0.53494902,0.749341227,0.152603926,-0.150393684,-1.438249451,1.235529731
"674",-0.711261821,-0.316018064,-0.295173833,-0.883015652,-0.591885375,0.767862756,-0.432136694,-0.699965522,0.105754043,-0.848823433,-0.629532178,-0.57571644,1.413009261,0.754900843,0.424324923,-0.702738134,-1.024238431,-0.128653754,-0.500468685,-0.460692573,0.072363526,-0.213351806,-0.240282494,-0.405429548,-0.123044206,0.047750817,-0.029239795,0.856928229,-0.492467797,0.245542256,-0.064349125,0.102381537,0.863899025,0.485903351,-0.472359585,-0.228791998,-1.092326921,0.494000294,0.811084494,0.232507682,-0.442114663,-0.170733564,0.46688341,0.635484656,-0.5898281
"675",-0.711261821,1.814186438,1.897895154,0.656786886,-0.825523406,0.959918635,1.2571069,1.2880847,1.326692201,0.931767253,-0.251207796,-0.236261373,-0.049217755,0.109708198,3.5028823,-0.702738134,1.1501875,0.879543313,-0.360537373,1.137539481,0.470477418,0.327241421,1.012217505,0.815146836,0.36492238,0.673586663,0.075371789,-0.578852971,-0.449420529,0.5542326,1.050228246,-0.545750656,0.069581765,0.692670734,-0.484074154,0.104193288,0.430959226,-0.052387277,-0.488195234,-0.576433166,0.545673554,0.714929994,-0.490960357,-0.944503235,1.121444866
"676",-1.25988527,-1.113506684,-1.108654954,-1.143454263,0.671490642,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,-2.230736498,2.727946841,-0.460692573,-1.855345848,-3.321762862,-3.449813742,-1.19977291,-1.38148435,-2.895009228,-2.518995496,3.272533085,1.134718913,-2.675143306,-2.166847348,2.490868693,-1.574794316,-0.299812706,-0.74179467,0.278614153,-3.344141226,2.032806108,1.950803554,3.578895464,-2.366774178,-3.052654665,-1.448804125,3.499212708,-2.928567822
"677",-0.436950097,1.412765992,1.441203998,-0.19048568,-0.26306148,0.695841801,0.755612708,0.516498775,0.744226291,-0.233142632,0.322666077,0.252364016,-0.245003537,-0.755223947,-0.044471614,-0.090934086,0.606581017,0.479676251,-0.336112992,-0.460692573,0.219037065,-0.155431103,1.101681791,-0.26980995,-0.200091562,0.860005852,-0.19661833,0.255452321,-0.406373262,-0.213535691,-0.545643899,-0.977838784,0.536417348,0.392858028,-0.53093243,-0.958188341,0.052503041,0.181778825,-0.248854231,0.094227195,-0.248630373,0.827395208,-1.023095784,-0.779921163,0.493978112
"678",-1.25988527,0.085402383,0.061616132,-0.788110061,0.61091782,0.023646224,0.623640552,0.134181425,0.486597139,-0.369098674,0.534265681,0.677357693,-0.345056812,-0.217968,-0.540844416,0.520869963,0.062974534,0.012832595,-0.326630919,-0.460692573,1.036218213,-0.203698355,1.493088041,0.912017978,0.005368053,1.991836638,-1.096277953,-0.685566439,-0.191136924,1.416982536,-0.279665208,-0.233687007,-0.571446198,-0.103383692,0.581951618,-0.434925748,-0.250261908,0.003366557,0.298210917,-0.230731949,-0.218080222,1.628709855,-1.299806205,-1.010336063,1.349614595
"679",-1.25988527,-1.06533623,-1.056325759,-1.143454263,0.697450424,-1.824891613,-2.094985857,-2.006795737,-2.145700725,-1.018666422,-0.629532178,-0.57571644,-1.071443357,2.038506865,-0.540844416,1.74447806,-1.024238431,-1.366546923,2.211400355,-0.460692573,-0.241936915,-2.221269507,-1.962469993,-1.19977291,-1.38148435,-0.231877966,-1.818097883,1.332288221,1.52214432,-0.56180172,-1.913534309,-0.593760448,-1.247312638,-2.491546968,-1.280664841,-1.275317186,-1.451860298,1.040387866,0.685715398,2.196090595,-2.366774178,-1.182920487,-0.022681182,2.281305375,-2.072931338
"680",-1.534196994,-0.995756686,-0.994482165,-1.143454263,0.083068936,0.695841801,-1.567097234,-1.728746755,-0.980768905,-1.287398254,-0.629532178,-0.57571644,2.289874858,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-2.230736498,-0.500468685,-0.460692573,1.560052282,0.520310431,-1.023094993,-1.19977291,-0.277138918,0.580377069,1.12148763,0.177842526,-0.776579762,1.456558221,-0.824288242,0.438450082,-1.14279721,-0.12406043,1.155965495,-0.228791998,-0.874714614,0.192929592,0.856673257,-0.631745361,-0.15697992,0.616522932,1.318300092,0.470902584,-0.532785668
