last_name,first_name,name,team,player_id,year,PC1,PC2,PC3,PC4,PC5,cluster
Zimmerman, Ryan,Ryan Zimmerman,WSH,475582,2021,-1.323065398,0.052067348,-1.227614965,-0.993794197,-0.449577202,3
Lowrie, Jed,Jed Lowrie,OAK,476704,2021,-2.488730957,-0.185875888,-1.681319792,-0.720661879,-0.468376914,2
Kershaw, Clayton,Clayton Kershaw,LAD,477132,2021,3.128990477,3.405370546,-1.537603715,-0.408561788,2.414714871,3
Avila, Alex,Alex Avila,WSH,488671,2021,0.664966877,-2.766382541,-1.056426985,-1.247057639,1.5737382,4
Brantley Jr., Michael,Michael Brantley Jr.,HOU,488726,2021,-3.476860282,2.643322668,-1.594435024,-0.186074079,0.449035823,3
Castro, Jason,Jason Castro,HOU,488771,2021,-0.918424373,-1.858475454,-0.784310581,-0.924248747,2.538441051,4
Miley, Wade,Wade Miley,CIN,489119,2021,2.937318524,1.470231043,-1.128283531,0.059635877,1.355231586,3
Gurriel, Yuli,Yuli Gurriel,HOU,493329,2021,-3.74529803,2.303598992,-1.293536743,0.343595943,-0.626263962,3
Campbell, Eric,Eric Campbell,SEA,493472,2021,-0.604809634,0.450514384,-0.970610639,0.919009246,3.661529089,4
Rojas, Miguel,Miguel Rojas,MIA,500743,2021,-1.761417774,2.074339677,0.516147962,-0.013549892,-0.457986749,3
Escobar, Eduardo,Eduardo Escobar,ARI,500871,2021,-3.006013394,-0.054854715,-1.055326129,0.39583047,-1.111515239,2
Adrianza, Ehire,Ehire Adrianza,ATL,501303,2021,-1.324372515,0.526969272,-0.865919218,1.153817448,0.899748185,3
Lagares, Juan,Juan Lagares,LAA,501571,2021,-0.555431943,0.626725734,-0.131522823,-0.342133583,0.739517813,2
Almonte, Abraham,Abraham Almonte,ATL,501659,2021,-1.671467743,0.070889988,-0.401829605,0.265881764,0.087372626,3
Davis, Khris,Khris Davis,OAK,501981,2021,-0.389740451,-2.276251332,-1.172925201,-0.134581212,0.076397266,4
Gibson, Kyle,Kyle Gibson,TEX,502043,2021,5.175626998,1.015023861,-0.594669573,0.005529977,-1.783894594,6
Pham, Tommy,Tommy Pham,SD,502054,2021,-2.792317477,0.290459289,0.497262816,-1.845155734,-0.835365796,2
Martinez, J.D.,J.D. Martinez,BOS,502110,2021,-3.589302284,-0.926401729,-1.618045853,-1.491580104,-0.320301375,2
Espino, Paolo,Paolo Espino,WSH,502179,2021,4.120365949,0.443437139,-1.238114499,-1.33403586,2.490524426,6
Reddick, Josh,Josh Reddick,ARI,502210,2021,-1.405423119,0.54142877,-1.015018649,1.655496629,1.09912762,3
Freeman, Mike,Mike Freeman,CIN,502273,2021,1.397799726,0.349395699,1.561540515,0.912438655,1.522375337,2
Dyson, Jarrod,Jarrod Dyson,KC,502481,2021,1.024222099,2.387486107,5.698652193,-1.448796671,0.588403001,5
Anderson, Chase,Chase Anderson,PHI,502624,2021,7.241416537,-2.103584211,0.004250786,-0.043349832,0.799466761,6
Goldschmidt, Paul,Paul Goldschmidt,STL,502671,2021,-4.107053489,-0.055922754,-0.805887355,-1.365778084,-0.706123859,2
Gonzalez, Marwin,Marwin Gonzalez,BOS,503556,2021,-0.35059343,0.941960472,0.21405758,0.485068037,-0.159840316,2
Darvish, Yu,Yu Darvish,SD,506433,2021,4.574048822,1.614255056,-1.357080041,-1.18268351,0.95417179,6
Leon, Sandy,Sandy Leon,MIA,506702,2021,0.340044482,-0.040385731,-1.246753565,1.965619546,-0.051581591,3
Sanchez, Adrian,Adrian Sanchez,WSH,506703,2021,0.548625356,1.841367169,-0.753517623,2.74303793,0.179650473,3
Altuve, Jose,Jose Altuve,HOU,514888,2021,-3.467840023,1.55926517,-0.604354361,0.360042109,-1.324420017,3
Hernandez, Cesar,Cesar Hernandez,CLE,514917,2021,-2.180644848,1.238701239,-0.744532248,-1.135747809,-1.314331104,3
Segura, Jean,Jean Segura,PHI,516416,2021,-2.42293408,2.22748286,-0.133488636,-0.819848631,-0.832756951,3
Castro, Starlin,Starlin Castro,WSH,516770,2021,-1.832153071,1.296309628,-1.330816034,-0.511755647,0.299480521,3
Marte, Starling,Starling Marte,OAK,516782,2021,-2.692581639,1.615605341,4.118128886,-2.121673819,-0.327635263,2
Bumgarner, Madison,Madison Bumgarner,ARI,518516,2021,2.420412128,-4.572803394,-1.080875383,1.113395629,0.951991262,4
Culberson, Charlie,Charlie Culberson,TEX,518586,2021,-0.074372674,0.537046421,1.453699092,-0.395423381,1.083533956,2
d'Arnaud, Travis,Travis d'Arnaud,ATL,518595,2021,-1.080398596,0.481979574,-1.155196118,-0.542205452,0.477456274,3
Donaldson, Josh,Josh Donaldson,MIN,518626,2021,-2.741919463,-0.777835442,-1.964680592,-1.32098116,-1.593668183,2
Freeman, Freddie,Freddie Freeman,ATL,518692,2021,-4.287054213,0.834507157,-0.931502836,-1.664469087,-0.068114682,2
Grandal, Yasmani,Yasmani Grandal,CWS,518735,2021,-3.172847275,-0.958466841,-2.13491235,-0.492615246,0.007678389,2
Heyward, Jason,Jason Heyward,CHC,518792,2021,-0.652402632,0.671064514,0.28199691,0.19464522,-0.624718158,2
Kelly, Merrill,Merrill Kelly,ARI,518876,2021,6.766989254,-0.655602859,-0.796700491,-0.407379057,-1.255636206,6
Kozma, Pete,Pete Kozma,OAK,518902,2021,1.495620516,0.629067454,-0.42696763,3.636998471,0.440025271,4
LeMahieu, DJ,DJ LeMahieu,NYY,518934,2021,-3.131851864,2.628200757,-1.235090106,-1.124636273,-0.604706593,3
Lucroy, Jonathan,Jonathan Lucroy,WSH,518960,2021,-1.234905911,-0.381525461,-1.003385933,2.198615993,2.387128513,4
Moore, Matt,Matt Moore,PHI,519043,2021,7.200763732,1.426071983,-0.170448644,-1.430323413,-0.48169597,6
Moreland, Mitch,Mitch Moreland,OAK,519048,2021,-0.966539746,-1.004300599,-1.518269217,-0.64184101,-0.369519279,2
Moustakas, Mike,Mike Moustakas,CIN,519058,2021,-0.911422347,-0.934136374,-1.092934977,2.328806602,-1.183167561,3
Rizzo, Anthony,Anthony Rizzo,CHC,519203,2021,-2.932983519,0.67844491,-0.773889089,0.241496701,-1.192362301,2
Romine, Austin,Austin Romine,CHC,519222,2021,1.749648967,0.16076545,-0.851237752,0.447984536,-0.094450703,4
Sogard, Eric,Eric Sogard,CHC,519299,2021,-0.294129006,2.710155452,0.155967484,1.67016838,-0.55270827,3
Souza Jr., Steven,Steven Souza Jr.,LAD,519306,2021,0.722272087,-1.397863929,0.064500246,2.329201121,-0.311231159,4
Stanton, Giancarlo,Giancarlo Stanton,NYY,519317,2021,-2.948306206,-1.427963373,-1.928120146,-2.058796477,-1.166267263,2
Vogt, Stephen,Stephen Vogt,ARI,519390,2021,-0.922542342,-0.576303967,-0.979757165,1.425399703,0.661291678,4
Galvis, Freddy,Freddy Galvis,BAL,520471,2021,-1.476504174,0.745060403,-0.961964828,1.244745429,-0.375798137,3
Perez, Salvador,Salvador Perez,KC,521692,2021,-3.314016104,-1.249545515,-1.434678773,-1.98037378,-1.093074029,2
Flores, Wilmer,Wilmer Flores,SF,527038,2021,-2.560140654,1.297627718,-1.635928188,0.973073431,-0.633985944,3
LaMarre, Ryan,Ryan LaMarre,NYY,534606,2021,1.032398736,-1.359076258,3.238775452,0.24548837,-1.180672788,2
Tovar, Wilfredo,Wilfredo Tovar,NYM,541600,2021,2.682057517,-0.250106551,-0.015766618,2.042203649,0.789897799,4
Garcia, Avisail,Avisail Garcia,MIL,541645,2021,-2.51668138,-0.657462325,0.358171219,-2.192948097,-0.623099695,2
Perez, Hernan,Hernan Perez,WSH,541650,2021,3.742063382,-1.508869997,-0.530735265,-1.291947713,-0.084622902,6
Inciarte, Ender,Ender Inciarte,ATL,542255,2021,0.714907896,1.636531904,0.209206582,1.620119515,0.577045722,3
Ozuna, Marcell,Marcell Ozuna,ATL,542303,2021,-0.936761714,-1.048012364,-0.840090848,0.865940875,0.83622873,4
Villar, Jonathan,Jonathan Villar,NYM,542340,2021,-0.738423015,0.597136457,1.290061302,-1.390976048,0.033426029,2
Ortega, Rafael,Rafael Ortega,CHC,542364,2021,-1.77933989,0.759137299,1.775675261,0.805525019,1.134330856,2
Santana, Danny,Danny Santana,BOS,542454,2021,0.449047042,-1.90306563,2.852811008,0.77754081,-0.647156155,2
Aguilar, Jesus,Jesus Aguilar,MIA,542583,2021,-2.583264614,-0.219625561,-1.781878975,0.296918012,-0.643136057,3
Anderson, Tyler,Tyler Anderson,SEA,542881,2021,5.564222377,-2.478320887,-0.183254984,-2.980633989,-0.037958014,6
Berti, Jon,Jon Berti,MIA,542932,2021,-0.848478287,1.872247379,1.989672875,-0.881177574,0.179071883,2
Brantly, Rob,Rob Brantly,NYY,542963,2021,1.985732438,0.058187016,0.131367171,5.049326075,-1.343519085,4
Burns, Andy,Andy Burns,LAD,542992,2021,-2.554451321,3.018178994,-0.168549822,2.665259894,2.877659939,3
Crawford, Brandon,Brandon Crawford,SF,543063,2021,-3.071072717,-0.544313491,-0.393796635,-1.330217887,-0.725166455,2
Cron, C.J.,C.J. Cron,COL,543068,2021,-3.091916135,-0.309124352,-1.317577373,-0.441623397,-0.841615205,2
DeSclafani, Anthony,Anthony DeSclafani,SF,543101,2021,5.771857425,-1.011794492,-1.104871281,0.084499439,-0.315420181,6
Dickerson, Alex,Alex Dickerson,SF,543105,2021,-1.321754072,-0.926659451,-0.515507273,0.832859948,0.347042087,4
Gomes, Yan,Yan Gomes,WSH,543228,2021,-2.355167298,0.841907044,-1.277819975,0.146690091,0.221730792,3
Gray, Sonny,Sonny Gray,CIN,543243,2021,5.120566194,3.079656939,-0.758114964,0.188492717,-0.831771767,6
Grossman, Robbie,Robbie Grossman,DET,543257,2021,-3.478318898,-0.013613385,0.79985053,0.070840354,-0.644514945,2
Harrison, Josh,Josh Harrison,WSH,543281,2021,-3.010691529,1.62055285,0.029184978,-0.00591088,-0.163233871,3
Hendricks, Kyle,Kyle Hendricks,CHC,543294,2021,5.451552919,2.684820988,-1.486076093,-0.394675343,0.074836039,6
Hicks, Aaron,Aaron Hicks,NYY,543305,2021,-1.057648036,-1.583170897,-0.736329924,1.218954727,-0.320644292,4
Hicks, John,John Hicks,TEX,543308,2021,-0.278694815,-3.005163857,-0.642741275,0.310973072,0.473892767,4
Higashioka, Kyle,Kyle Higashioka,NYY,543309,2021,-1.335958661,-2.594727412,-1.324425857,0.533972135,-0.682925563,4
Hosmer, Eric,Eric Hosmer,SD,543333,2021,-1.898653693,1.754897643,-0.789522972,-1.462412417,-0.497181624,3
Lavarnway, Ryan,Ryan Lavarnway,CLE,543432,2021,1.028434959,-0.210170055,-1.017472766,1.048640695,1.747475796,4
McCann, James,James McCann,NYM,543510,2021,-1.213622393,0.664560807,-0.886323892,-1.052861438,-0.525686867,3
