last_name,first_name,name,team,player_id,year,HR.,SLG,OBP,SB.,Sac.,SweetSpot.,HPto1B,SprintSpeed
Butera, Drew,Drew Butera,LAA,460077,2021,-1.143454263,-1.471551447,-2.112096923,-0.57571644,2.010521164,1.582552326,0.010072783,-0.002291049
Romine, Andrew,Andrew Romine,CHC,461865,2021,-0.44461063,-0.48447756,-0.420705529,-0.57571644,-0.500468685,0.587262148,-0.549506262,0.493978112
Andrus, Elvis,Elvis Andrus,OAK,462101,2021,-0.890351959,-0.116062659,0.228967986,0.831862162,-0.208061361,0.352418398,-0.121592875,-0.019403778
Sandoval, Pablo,Pablo Sandoval,ATL,467055,2021,1.154113818,0.036864281,0.340980661,-0.57571644,-0.500468685,1.213512148,2.577553105,-2.301101067
Ramos, Wilson,Wilson Ramos,DET,467092,2021,1.078035367,0.419181631,-0.297491587,-0.57571644,-0.361825081,-0.072536958,1.524227844,-1.730676745
Santana, Carlos,Carlos Santana,KC,467793,2021,0.266601906,0.036864281,0.531402209,-0.412988061,-0.329005048,-0.318563744,0.43798617,-1.046167558
Parra, Gerardo,Gerardo Parra,WSH,467827,2021,-0.278905444,0.099425302,0.206565451,-0.024493047,-0.078059173,0.598445184,0.339236926,-0.418700804
Carrasco, Carlos,Carlos Carrasco,NYM,471911,2021,-1.143454263,-2.340454516,-3.041802126,-0.57571644,4.257196301,-3.449813742,0.010072783,-0.002291049
Anderson, Brett,Brett Anderson,MIL,474463,2021,-1.143454263,-2.340454516,-1.72005256,-0.57571644,0.828878874,-1.347403029,0.010072783,-0.002291049
Mercer, Jordy,Jordy Mercer,WSH,474568,2021,-0.432765818,0.189791221,0.396986998,-0.57571644,-0.500468685,1.347708576,-0.121592875,-0.133488643
Belt, Brandon,Brandon Belt,SF,474832,2021,2.598046948,1.809426542,1.192276991,-0.219418028,-0.441153962,0.464248756,0.14173844,-0.646870533
Zimmerman, Ryan,Ryan Zimmerman,WSH,475582,2021,1.158618843,0.933572248,0.161760381,-0.57571644,-0.334908922,0.151123756,-0.154509289,-0.07644621
Lowrie, Jed,Jed Lowrie,OAK,476704,2021,0.141072288,0.426132856,0.520200941,-0.57571644,-0.323914711,0.631994291,0.43798617,-0.875040262
Kershaw, Clayton,Clayton Kershaw,LAD,477132,2021,-1.143454263,-0.797282665,-0.454309332,-0.57571644,0.658449702,0.274137149,2.347138204,-2.129973771
Avila, Alex,Alex Avila,WSH,488671,2021,-0.672323736,0.078571628,0.789031361,-0.57571644,-0.296874914,0.978668398,1.49131143,-1.445464584
Brantley Jr., Michael,Michael Brantley Jr.,HOU,488726,2021,-0.428219868,0.697230613,1.013056711,-0.482704839,-0.455982643,0.889204112,0.273404098,-0.5898281
Castro, Jason,Jason Castro,HOU,488771,2021,1.107854032,0.738937961,0.901044036,-0.57571644,-0.24796692,1.392440719,-0.154509289,-0.07644621
Miley, Wade,Wade Miley,CIN,489119,2021,-1.143454263,-0.665209399,-0.577523274,-0.57571644,0.265596013,-0.32974678,1.853391988,-1.730676745
Gurriel, Yuli,Yuli Gurriel,HOU,493329,2021,0.043261325,0.871011227,1.248283329,-0.501899637,-0.052225863,0.016927327,-0.483673433,0.151723519
Campbell, Eric,Eric Campbell,SEA,493472,2021,-1.143454263,-0.442770213,0.688219954,-0.57571644,-0.500468685,1.023400541,0.536735413,-0.5898281
Rojas, Miguel,Miguel Rojas,MIA,500743,2021,-0.381079414,0.384425509,0.553804744,0.709448811,-0.41661374,0.173489827,-0.022843632,-0.07644621
Escobar, Eduardo,Eduardo Escobar,ARI,500871,2021,0.995083566,0.940523473,0.475395871,-0.484776856,-0.46274096,0.799739827,-0.747004748,0.379893247
Adrianza, Ehire,Ehire Adrianza,ATL,501303,2021,0.008485748,0.44698653,0.598609814,-0.57571644,-0.067953686,0.587262148,-0.450757019,0.094681086
Lagares, Juan,Juan Lagares,LAA,501571,2021,-0.329267511,0.245401018,-0.095868772,-0.376829656,-0.15491962,0.45306572,-0.38492419,0.836232705
Almonte, Abraham,Abraham Almonte,ATL,501659,2021,0.273120649,0.433084081,0.665817419,-0.280430088,-0.371332058,0.173489827,-0.549506262,0.608062976
Davis, Khris,Khris Davis,OAK,501981,2021,0.089799194,0.182839997,0.004942636,-0.57571644,-0.103996595,-0.083719994,1.260896529,-0.646870533
Gibson, Kyle,Kyle Gibson,TEX,502043,2021,0.302429102,-0.665209399,-1.552033547,-0.57571644,0.252828263,-2.331510171,1.162147286,-1.160252423
Pham, Tommy,Tommy Pham,SD,502054,2021,0.180670473,0.321864488,0.766628826,0.679722727,-0.339335641,0.497797863,-0.088676461,0.608062976
Martinez, J.D.,J.D. Martinez,BOS,502110,2021,0.91629535,1.260279802,0.867440234,-0.57571644,-0.322243861,1.124047862,0.372153341,-0.361658372
Espino, Paolo,Paolo Espino,WSH,502179,2021,-1.143454263,-1.179600016,-1.339209465,-0.57571644,1.553977559,0.274137149,2.281305375,-2.072931338
Reddick, Josh,Josh Reddick,ARI,502210,2021,-0.588081855,0.238449793,0.150559113,-0.57571644,-0.357437616,1.079315719,-0.121592875,-0.247573507
Freeman, Mike,Mike Freeman,CIN,502273,2021,-1.143454263,-1.047526749,-0.107070039,0.42865596,-0.500468685,-0.005438744,-0.648255505,0.608062976
Dyson, Jarrod,Jarrod Dyson,KC,502481,2021,-1.143454263,-0.33155062,-0.185478912,3.926050097,0.106213436,-0.072536958,-1.010336063,0.608062976
Anderson, Chase,Chase Anderson,PHI,502624,2021,-1.143454263,-2.340454516,-3.041802126,-0.57571644,4.342154593,-0.654054815,0.010072783,-0.002291049
Goldschmidt, Paul,Paul Goldschmidt,STL,502671,2021,1.012182788,1.232474904,1.046660514,0.252469824,-0.334055519,0.676726434,0.075905611,-0.304615939
Gonzalez, Marwin,Marwin Gonzalez,BOS,503556,2021,-0.383841635,-0.227282252,0.027345171,0.034300274,-0.353244524,-0.038987851,-0.220342118,0.037638654
Darvish, Yu,Yu Darvish,SD,506433,2021,-1.143454263,-1.422892875,-1.820863968,-0.57571644,-0.089579441,-0.754702137,2.972550077,-2.586313228
Leon, Sandy,Sandy Leon,MIA,506702,2021,-0.313145021,-0.48447756,-0.398302994,-0.57571644,-0.192301741,0.06165947,1.030481629,-1.730676745
Sanchez, Adrian,Adrian Sanchez,WSH,506703,2021,-1.143454263,-0.157770006,0.497798406,-0.57571644,-0.500468685,-0.206733387,0.372153341,-0.532785668
Altuve, Jose,Jose Altuve,HOU,514888,2021,1.019356278,1.05869429,0.878641501,-0.215319012,-0.267146614,0.117574649,-1.142001721,0.722147841
Hernandez, Cesar,Cesar Hernandez,CLE,514917,2021,0.401357936,0.342718161,0.408188266,-0.488535955,-0.394037407,0.195855899,-1.076168892,1.121444866
Segura, Jean,Jean Segura,PHI,516416,2021,-0.001375201,0.690279389,0.845037699,0.206702577,-0.30118378,0.028110363,-0.779921163,0.322850815
Castro, Starlin,Starlin Castro,WSH,516770,2021,-0.744115032,0.266254691,0.677018686,-0.57571644,-0.239209617,0.341235363,0.14173844,-0.361658372
Marte, Starling,Starling Marte,OAK,516782,2021,-0.066008018,0.843206329,1.237082061,3.425187902,-0.371577572,0.195855899,-1.142001721,0.95031757
Bumgarner, Madison,Madison Bumgarner,ARI,518516,2021,-1.143454263,-1.450697773,-0.028661167,-0.57571644,0.803314514,1.716748755,3.071299321,-2.643355661
Culberson, Charlie,Charlie Culberson,TEX,518586,2021,-0.294656344,0.307962039,0.228967986,0.937340658,-0.083514639,0.53134697,-0.944503235,0.779190273
d'Arnaud, Travis,Travis d'Arnaud,ATL,518595,2021,0.260920475,0.35662061,0.139357846,-0.57571644,-0.4017835,0.251771077,0.43798617,-0.190531075
Donaldson, Josh,Josh Donaldson,MIN,518626,2021,1.242095071,0.961377146,0.901044036,-0.57571644,-0.167519755,-0.072536958,0.865899557,-1.274337287
Freeman, Freddie,Freddie Freeman,ATL,518692,2021,1.022960969,1.156011434,1.360296004,-0.074734531,-0.435435851,0.710275541,-0.483673433,0.151723519
