"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5","PC6"
"Pujols"," Albert","Albert Pujols","LAD",405395,2021,-0.833018555627899,1.59359743026453,0.0269659073686365,-0.0793044652372664,0.96360199452755,0.29659901363935
"Cabrera"," Miguel","Miguel Cabrera","DET",408234,2021,-1.51392887275137,1.63980465242996,-0.616376745849459,1.09249692291104,0.181659474206673,-0.128671972653734
"Rivera"," Rene","Rene Rivera","CLE",425784,2021,1.2187513079523,-0.0997983643668012,-1.59727861875288,-1.4222880011833,-0.211317950243238,-0.168292731507616
"Wainwright"," Adam","Adam Wainwright","STL",425794,2021,4.39283432578673,1.15991170725259,0.479091913816643,1.38854863286133,-0.311028650040257,-0.221308116120574
"Molina"," Yadier","Yadier Molina","STL",425877,2021,-1.3580726270481,1.81589810308499,0.221405022232092,0.408470343216996,-0.0835111764333501,-0.162807636986448
"Suzuki"," Kurt","Kurt Suzuki","LAA",435559,2021,-0.1771989881764,1.32653946966414,0.437143193376912,-0.899214937740582,2.056639324565,-1.03046534815258
"Cruz Jr."," Nelson","Nelson Cruz Jr.","TB",443558,2021,-2.09983309455626,0.424256350610997,-1.6631546905956,1.60623518033094,0.289957428344542,-0.123563851759622
"Peralta"," David","David Peralta","ARI",444482,2021,-2.07168667835553,0.988284648326615,0.51842321116145,1.2339835706032,0.252945910859352,-0.0311682433650001
"Pina"," Manny","Manny Pina","MIL",444489,2021,-0.642022104973972,0.978576190727056,-0.816000539996181,-0.348775737890492,1.20836349629536,-0.265475570685404
"Escobar"," Alcides","Alcides Escobar","WSH",444876,2021,-1.69793857264347,0.673296870059864,0.946946553891048,-0.584172897020062,0.142458067462232,-0.933072996655633
"Jay"," Jon","Jon Jay","LAA",445055,2021,-0.504184385431771,2.02081930548039,1.98998426074285,-1.54719050043208,0.307012256366022,1.12065024971498
"Longoria"," Evan","Evan Longoria","SF",446334,2021,-1.89797254694342,0.743794147421447,-1.05543598711536,0.0849238069441973,-0.434445659928054,0.386226780367147
"Lobaton"," Jose","Jose Lobaton","CHC",446653,2021,3.31781317040243,-0.416854254788287,-1.80909311353604,-2.2358049988102,-0.0243959827819745,1.93572142414092
"Hill"," Rich","Rich Hill","BOS",448179,2021,5.02477513843848,0.19452741016218,-0.34653486673841,0.103346386985699,0.522258943105823,1.5955842701476
"Morton"," Charlie","Charlie Morton","ATL",450203,2021,4.7689703930072,1.09427864305243,-0.4477406724744,-0.0275590646120042,-1.28431389844001,0.0416719742830488
"Fowler"," Dexter","Dexter Fowler","LAA",451594,2021,0.114007736895167,-2.35416311004261,1.10602671741179,-2.29858022242143,-1.16991071682522,1.2987440881037
"Lester"," Jon","Jon Lester","STL",452657,2021,1.93700426587801,0.397666575567079,-0.275628125962892,-0.26898478140212,-2.99551094626901,-1.77458686227089
"Cabrera"," Asdrubal","Asdrubal Cabrera","ARI",452678,2021,-0.9694530959316,1.20444006606711,-0.340336221045284,0.0240036642286467,0.409496954968167,0.584378603717219
"LeBlanc"," Wade","Wade LeBlanc","STL",453281,2021,4.93647196104809,1.85809390076377,4.05607591043869,1.6996058753248,2.58315737817023,0.947081446592463
"Scherzer"," Max","Max Scherzer","NYM",453286,2021,6.62117112747478,1.39801572011247,0.422479713074563,2.01448603996661,-0.0318761745226894,-0.79631781215683
"Arrieta"," Jake","Jake Arrieta","SD",453562,2021,4.32390436534944,-1.32477497589926,-2.43340945585456,-1.5684046371605,0.843239750281087,0.22263451870839
"Blackmon"," Charlie","Charlie Blackmon","COL",453568,2021,-2.90286671254436,0.938371720874698,0.309291908096588,0.772969149572897,0.430490800950385,-0.765983116192465
"Frazier"," Todd","Todd Frazier","PIT",453943,2021,2.02187557834206,1.49200332230439,1.33372329914131,-0.738336953163889,3.78799355448206,-1.18983277946234
"Maldonado"," Martin","Martin Maldonado","HOU",455117,2021,-0.154411765411571,1.36734676111598,-0.898613277770971,0.558487026850321,0.60551644884791,0.271044836680609
"Chirinos"," Robinson","Robinson Chirinos","CHC",455139,2021,0.260395456224291,0.551939462774047,-1.05260385819793,-1.65164586953961,1.03836367166475,-0.624801647372519
"Price"," David","David Price","LAD",456034,2021,1.82066896436558,0.981208903524373,1.25055479307152,-0.646786120367218,-0.453461135483828,0.502126368537669
"Cueto"," Johnny","Johnny Cueto","SF",456501,2021,4.11351361814774,-2.05479056145312,3.09688620752251,1.50502936009596,0.842274169165967,1.50046098098639
"Cain"," Lorenzo","Lorenzo Cain","MIL",456715,2021,-1.60317891869393,-1.92264969648923,1.51025233177849,0.15613131518665,0.119203443246361,0.525348375874885
"Solano"," Donovan","Donovan Solano","SF",456781,2021,-2.13309957645513,1.13874105322718,0.383555994062889,-0.508782127684747,0.0034334098202616,-0.744629495717585
"McCutchen"," Andrew","Andrew McCutchen","PHI",457705,2021,-2.38260493696851,-0.29690691501574,-0.924620812025083,1.06103857439908,0.546489446954653,0.802023428724298
"Upton"," Justin","Justin Upton","LAA",457708,2021,-0.937888277838067,-0.461202555350244,-1.20556382881419,0.728619515237587,0.00463353642773204,0.679720660254946
"Maybin"," Cameron","Cameron Maybin","NYM",457727,2021,3.13763192315158,-4.06881394723465,0.752840699348322,-1.09057375594474,4.73766467583822,-0.036773054764352
"Turner"," Justin","Justin Turner","LAD",457759,2021,-3.27950030203083,1.54687364513737,0.137981892601947,0.794236163258587,0.649447750735328,-0.431952027530707
"Posey III"," Buster","Buster Posey III","SF",457763,2021,-2.74799169996137,1.89550499105079,-0.560530971867688,0.425706375317694,-1.00709637425676,-0.0956675859518274
